Adjectives
['좋았어요']
"['멋있어요', '기대했는데', '입니다']"
"['있을', '좋았구요', '좋고', '좋았다는']"
"['궁금하다', '그럼']"
[]
['재밌는']
['재밌는']
"['멋지지', '없었고', '즐겁고', '재밌게']"
"['입니다', '재밌어서', '재밌고', '확실하게', '있어서', '좋았어요', '이런', '멋진', '있을까요']"
[]
"['있는', '있어서', '좋아하던', '흔쾌히', '행복하고', '이런', '좋아하지', '지루하더라도', '좋아하는데', '신나고', '재미있었어요']"
[]
"['유쾌하고', '독특한']"
"['기대할게', '완벽한']"
[]
[]
['재밌는']
['재밌어']
[]
[]
[]
[]
['재밌게']
"['좋고', '재밌는', '길었어서', '아쉽고', '슬픕니다', '아니었어도']"
[]
"['있는', '재미있고', '신나는', '다르고', '재미있어서', '다양하게', '있었던', '같습니다', '만족스러웠고', '편안하게', '없다는', '아쉬웠어요', '없었더라면', '있는', '신나는', '슬펐습니다', '미', '더신', '재미있게', '있길', '건강한', '있겠습니다', '재미없는', '없었던', '가득했던', '만족스러웠고']"
"['신나게', '있었던']"
[]
"['즐겁고', '재밌을', '있는', '많았다']"
['재밌고']
[]
[]
['있을']
"['좋았어요', '좋구요', '당연하고', '완벽했습니다']"
['없었어요']
['많으셨습니다']
[]
['재미있어요']
"['재밌었습니다', '귀여웠어요']"
"['좋은가', '있습니다', '있었으면', '좋았을', '아쉽지만', '있겠죠']"
['재밌어요']
['재밌었어요']
['미었어요']
"['좋겠어요', '즐거운']"
['고맙습니다']
"['좋은', '좋겠어요']"
[]
['유쾌한']
['좋은']
"['좋구', '재미있어요']"
"['흥겹고', '유쾌하고', '따뜻한']"
"['힘들어', '힘들어']"
[]
"['있었지만', '재밌어서']"
['신나게']
"['있는', '신나는']"
"['인한', '아쉬워요']"
[]
[]
"['아쉽다', '기대했지만', '있어', '좋았다']"
[]
"['아쉬웠지만', '좋았습니다']"
"['없다니', '없어']"
[]
"['좋았을', '아쉬워요']"
[]
['재밌어요']
[]
['흥미로운']
[]
"['재밌고', '신나고', '좋았던']"
"['신나고', '유쾌한', '즐거운']"
"['좋은', '아쉽습니다', '힘들었어요', '없어서', '아쉬웠는데', '아쉬웠을', '있어서', '재미있었습니다', '아쉬웠습니다', '있게']"
"['힘들어', '힘들어']"
['좋아한다면']
[]
[]
"['재미있었습니다', '좋게']"
[]
"['없다가', '재미있네요']"
['좋겠습니다']
['재밌었다']
"['재밌고', '신났다', '어렵구나', '아쉽']"
"['다양한', '화려한', '있는', '유쾌하게', '같네요']"
[]
"['재밌을', '같아요']"
"['재밌었어요', '재밌었어요', '재밌었어요', '재밌었어요', '재밌었어요', '재밌었어요', '재밌었어요', '재밌었어요', '재밌었어요']"
"['좋은', '유쾌한', '좋은', '입니다', '그리워요']"
"['행복했던', '있는']"
"['행복했던', '있는']"
[]
[]
['재밌었습니다']
"['딱히', '재미없던', '스러워', '놀라워', '새로운', '눈부시게', '세련되고', '멋진', '멋져', '새로운', '있네', '새로워라', '새롭네', '새로', '그럼', '좋아', '좋아', '좋아', '좋아', '좋아', '좋아', '좋아', '좋아', '그래', '아니고', '있는', '있는']"
"['재미있게', '굉장히', '기대하면서', '행복하게', '힘든', '아쉽습니다', '좋겠어요', '무사히']"
['신나는']
['유쾌하게']
['좋아요']
[]
