Nouns
나중
시간
생활
정상화
다음
기억
한창
공연
뮤지컬
연극
갑자기
중단
기도
개막
연기
조기
폐막
가슴
일
자주
적
상황
공연
마무리
수
것
기적처럼
코로나
일
늘
곁
사람
것
새삼
깨
듯이
우리
이
말
글
일
이
생각
더
이상
신분
차이
때문
일어나지
지금
사랑
인지
초희
달
진균
페어
일
배우
목
상태
별로
안
것
진
배우
커튼
콜
때
뒤
눈물
정도
인지
배우
초희
것
길이
길이
이
분
만날
수
테
정인지
승리
최
호승
배우
페어
막
회
최애
페어
모든
배우
나름
캐릭터
구현
매력
배우
거의
상관
시간
회전
공연장
캐스팅
안
적도
설
무대
연출
중
또
정말
것
바닥
활용
것
바닥
초희
시구
붓
배우
동선
듯
것
낮
문
넘버
연출
그
넘버
가사
연출
느낌
것
더
위해
무대
일부러
경사면
것일
텐데
관객
입장
앞
보이
막상
이제
생각
경사면
서서
연기
배우
좀
수도
것
어쨌든
초희
자신
더
멀리
어디
때
불길
옆
초희
시
제목
연출
정말
인지
초희
달
진균
난설
재연
나
최애
페어
막공
일주일
공연
기간
중
이
페어
공연
볼
수
것
한편
또
얼마
안
것
실감
기도
설
프리뷰
공연
것
무대
양쪽
사이드
활용
연출
사이드
목
불구
상관
그냥
예매
무대
가운데
현실
세계
양
사이드
이상
세계
그것
그
늘
곳
때
배우
표정
웃음
어딘가
모양새
난
역시
것
매력
달
거문고
곡조
처럼
설
삼연
벌써
추천
또
지금
경험
때
나
유독
사극
뮤지컬
서정
국악
기반
넘버
중
회전
처음
나중
오열
은
난설
이
극
프리뷰
때
관람
막공
주
볼
수
다행
나
난설
준비
안
것
벌써
마지막
주
저
왜
볼
때
눈물
그
때
손
눈물
기도
눈물
마스크
마스크
집
가기
래서
설
관람
때
부터
손수건
손
꼭
쥐
보기
시작
눈물
주체
수
때
손수건
눈가
꾹꾹
덜
자주
눈
손
나
분
난설
손수건
얼마
순식간
품절
손수건
눈물
것
관
분
것
장면
기억
초희
죽음
상징
장면
것
눈물
평소
몇
초
정도
더
손수건
눈
꾹
오른쪽
옆
분
손수건
내
팔
탁
것
다그
때
감정
집중
당시
당황
아무
말
못
생각
열
그냥
집
디비디
보시
다음
시즌
또
감동
작품
나
소리
이
시간
한여름
눈
그냥
최고
진짜
최고
승리
최고
내
이
뮤지컬
난설
작품
애정
회전
이유
생각
일단
첫
넘버
모두
집
정도
귀
두번째
이
작품
메시지
조선
현대
한국
것
세번
여러
번
더
향기
나
그
대사
가사
때문
것
금은
하차
안유진
배우
포함
아홉
분
배우
모두
각각
디테
일이
허균
역할
최석
진
배우
디테
일이
개인
가장
마음
초희
균
본인
옷
얼룩
것
초희
핀잔
초희
자신
옷
얼룩
발견
것
티끌
세상
그
강박
성격
것
균
초희
소위
진짜
세상
아무
것
상처
입지
수
더
초희
자신
세계
다그
내
짐작
일
뿐
균
성격
최석
진
배우
디
테일로
것
균
자신
작고
세계
초희
당부
더
멀리
노력
신
초희
약속
생각
것
완벽
갈망
성격
때문
것
비록
역모
죄
처형
마지막
초희
스승
진짜
세상
것
균
짱
우리
모두
지음
이오
난설
인지
초희
자체
레젼
정인지
배우
앞뒤
선택
수
배우
모두
사람
위로
말씀
입니
시국
관객
덕분
내년
꼭
허난설헌
이야기
동생
허균
시선
더
수
난
가사
더욱
향기
나
것
정인지
배우
달
처음
때
연기
음색
그것
증폭
느낌
달
처음
대화
그
몇
분
동안
수만
가지
감정
그
얼굴
프리뷰
공연
보기
시작
시간
그
연기
밀도
더
진해
것
초희
달
견흥
준
후눈
눈물
채
바로
말
것
조금
연기
과
기도
그
가사
의미
생각
달
말
스스로
말
생각
더욱
짐작
신분
장벽
달
여성
것
장벽
초희
스스로
위로
리라
초희
균
더
멀리
당부
꼭꼭
다시
난설
작품
난설
모든
분
꼭
번
뮤지컬
꼭
다시
그
이름
난설
계절
여운
가지
이름
난설
재미
썽용
중간
거
연극
잠깐
생각
취향
도포
정인지
정말
어쩜
후기
아주
지금
달동
안
버세
때
읹초히
때
스튜
오슷
실황
오슷
딥디
삼연
때
너
나
난설
게
콘플
난설
삼연
이
세상
모든
극도
이의
것
아주
곡조
오슽
삼연
그
눈
또
볼
수
정말
공연
정말
공연
정말
공연
정말
공연
코로나
때문
더
마지막
최고
꼭
다시
안유진
배우
초희
다시
수
거
정인지
허초희
승리
달
유현
석
허균
정말
이
페어
승리
배우
막공
엽기
다음
난설
마지막
공연
최고
삼연
넘버
최고
내년
꼭
다시
볼
수
얼른
습
이번
여름
난설
만날
수
시간
이
붓
끝
세상
수바
꿀
수
붓
끝
수
상처
수
꿈
수
마음
리다
붓
끝
상처
그대
무릎
누운
세상
밤
달빛
그대
숨결
바람
마음
그대
마음
세상
마음
지음
잔
술
다시
볼
수
해
약속
아주
사랑
여름
이면
항상
생각
나
난설
강릉
허난설헌
생가
정도
이
공연
제
것
난
초희
시로
가득
그
분위기
올해
못
아쉬움
초희
역
배우
여름
이면
항상
생각
나
난설
강릉
허난설헌
생가
정도
이
공연
제
것
난
초희
시로
가득
그
분위기
올해
못
아쉬움
초희
역
배우
오늘
균
처음
끝
눈물
울
오늘
감정
역대
안재영
리피
그
이름
난설
그
이름
난설
다음
또
매일
난
정말
매일
난설
재미
올해
난설
볼
수
정말
나날이
감동
공연
다시
난설
매일
매일
레전
좀
갑자기
부분
난설
정말
페어
안유진
정성일
최석
진
배우
회
의
이야기
힘
무대
연출
소품
것
정말
디테
인
것
나
넘버
관람
집
가면
꼭
머릿
속
거의
수능
금지곡
수준
혼자
서도
넘버
그
동안
가사
의미
제대로
생각
이제
왜
가사
달
눈
관
언급
알
난
바보
나
마지막
허균
대사
달이
훤
이
향기
눈
밤
이면
얼마나
뜻
내포
정말
극
대사
하나
게
었다
생각
허난설헌
시
절절
감동
가사
넘버
마음
나중
이
날
안유진
배우
난설
마지막
공연
걸
알
배우
마지막
초희
연기
볼
수
행운
얼른
몸
시기
다시
보지
막
공연
동안
기억
난설
또
거지
진심
사랑
이
페어
자연
흐름
것
막
난설
추천
해
추천
달래
공연
공연
다음
공연
꼭
정성일
최석
진
어정
난설
대사도
넘버
분위기
공연
눈물
거의
사람
세미
막
공연
보고
배우
이
극
얼마나
다른
창작
마찬가지
마음
공연
분
말씀
것
위로
공연
오래오래
기억
처음
이해
두번째
볼때
감겨
막
공이
요
설
사랑
려
초희
초희
균
스승
임
공연
실존
인물
내용
노래
배우
연기
뮤지컬
또
시리
세
사람
그
끝
나마
난설
공연
끝
허초희
이름
기억
준
입
다그
발자취
허균
달
수
서로
서로
지음
시기
기억
선사
모든
창작
진
분
감사
눈물
난설
사랑
시국
시국
끝
마무리
다행
모두
정말
고생
초희
시
향기
나
것
사랑
난설
고생
정인지
배우
삼연
또
허난설헌
이야기
생각
이제야
거문고
연주
달
선생님
균
제이
를
이야기
조금
루즈
수
넘버
내용
번은
꼭
볼
만
인
것
얼른
다시
마음
볼
수
진짜
은
연기
신
손곡
달
환생
임
설
연
스승
해
오늘
티켓
값
적금
거
안재영
배우
덕분
최근
두
달이
또
건
두
번
말
거랬어
연
또
봬
마지막
애드립
왜케
극장
생각
김
려원
안재영
유현
석
배우
진짜진짜
초희
모두
화이팅
뮤지컬
난설
넘버
사건
그
사건
화로
자칫
난설
최고
난설
처음
배우
차기작
꼭
난설
음악
배우
초희
달균
모습
가슴
또
시기
막공
모든
배우
수고
김
려원
배우
공연
자주
난설
모습
또
정말
노래
때
최고
려원
배우
음색
초희
모습
모든
배우
정말
끝
마무리
시일
안
또
정인지
초희
정성일
달
최석
진
균
공연
막바지
배우
감정
최고
것
정말
최고
공연
공연
코로나
공연
취소
공연
꼭
인지
초희
균
달님
마지막
날
난설
배우
말
넘버
연출
무대
진짜
잘만
공연
제
인생
탑
안
최고
공연
넘버
배우
연기
인지
초희
균
남매
케미
비숲
열연
정성일
배우
난설
제
기준
최고
공연
넘버
배우
연기
초희
진짜
인생
캐
균
남매
케미
난설
넘버
배우
연기
초희
진짜
인생
난설
한편
수묵화
이야기
안재영
어찌
이역
역
때
그
인물
보배
인지
초희
다음
시즌
또
초희
허균
누
정도
로만
알
허난설헌
작품
난설
통해
알
초희
다른
작품
초희
신
인지
배우
모든
걸
듯이
승리
달
누
대한
사랑
그리움
균
모든
것
우여곡절
공연
마무리
수
다행
알
허초희
알
것
정말
그
시가
시간
저희
것
난설
볼
수
기간
동안
위로
시간
벌써
배우
스텝
덕분
시국
시국
모든
고생
벌써
볼
때
마스크
남매
달
선생님
셋
사랑
난설
또
오기
약속
난설
동안
배우
연기
노래
진짜
최고
