,Nouns
1316,서지영
1318,연기
1319,인상
1321,조연
1323,무대
1324,전차
1325,경기
1326,장면
1328,달리
1329,박진
1331,연출
1333,대신
1337,감정
1338,교류
1340,장면
1341,볼거리
1342,대부분
1346,생각
1347,친구
1351,무대
1352,전환
1356,웅장
1357,긴장감
1358,넘버
1362,결말
1365,연기
1366,최고
1368,연기
1369,몰입
1370,무대
1371,장치
1372,음악
1373,최고
1375,재현
1378,노래
1379,앙상블
1380,무대
1381,효과
1382,스토리
1391,평면
1392,재미
1394,긴장감
1396,술술
1399,하이라이트
1400,전차씬
1402,표현
1403,이해
1404,이도
1408,전차
1410,포기
1411,고서
1413,사람
1414,감정
1415,전달
1416,비중
1419,매력
1422,생각
1424,추천
1428,발견
1433,연기
1434,퍼포먼스
1436,넘버
1437,창작
1439,갈수록
1440,발전
1442,무대
1443,연출
1444,웅장
1446,은태
1447,주옥
1448,넘버
1449,연기
1451,최애
1457,주연
1458,갓상블
1459,님들
1460,어쩜
1463,예루살렘
1465,골고다
1466,운명
1467,죽음
1468,질주
1469,카타콤
1471,넘버
1473,공주
1474,관할
1483,소름
1484,몇번
1485,연기
1486,노래
1487,주제
1488,감동
1489,두번째
1491,예수
1492,재회
1493,이후
1494,장면
1497,시대
1499,질문
1500,남지
1501,최메
1504,최우혁
1505,로맨스
1507,무대
1508,당황
1509,전차
1511,쓰기
1512,완성
1514,장면
1519,무대
1521,남성
1522,무용수
1525,앙상블
1526,감탄
1540,페어
1547,페어
1552,페어
1558,공인
1560,진수
1564,감동
1569,최고
1570,조연
1571,앙상블
1572,상블
1577,여운
1586,능력
1588,기대
1590,무대
1591,연출
1598,비교
1599,재미
1600,스케일
1601,좋았스비
1604,오기
1605,기원
1611,최고
1613,아쉬움
1618,공부
1620,생각
1621,앙상블
1629,무대
1636,듯막
1639,레전드
1642,눈물
1643,인간
1645,표현
1652,내용
1653,그닥
1656,최우혁
1662,생일
1663,생일
1666,선물
1673,선택
1674,설레임
1675,기다림
1676,시작
1678,준상
1681,긴장감
1682,무대
1683,스케일
1685,감동
1687,내용
1688,처음
1691,긴장
1692,지고
1693,소리
1695,집중
1697,감고
1698,온전
1700,목소리
1701,듣기
1705,선택
1707,한국
1708,창작
1710,꼭대기
1715,사흘
1719,넘버
1725,연기
1731,연기
1732,노래
1737,캐슷
1741,다다
1742,수고
1743,남성
1745,소재
1746,웅장
1747,성취향
1748,격의
1749,넘버
1750,디테일
1751,연출
1753,처음
1755,세번
1757,감흥
1760,창작
1763,아쉬움
1766,보완
1770,최고
1775,자막
1778,스토리
1779,원작
1783,진행
1784,살짝
1787,전차씬
1788,구현
1794,전차
1795,장면
1796,죽음
1797,질주
1799,위화
1802,소름
1804,엔딩
1805,운명
1807,엔딩
1808,운명
1809,리프
1810,라이즈
1811,살짝
1812,가사
1813,포인트
1814,예수
1816,유다
1818,내면
1819,변화
1821,워드
1822,비중
1826,유다
1828,변화
1829,존재
1830,로서
1831,존재
1836,짐작
1837,넘버
1838,하나라
1839,앙상블
1844,군무
1845,깃발
1846,군무
1848,의상
1849,노예
1850,귀족
1851,유대인
1852,로마인
1853,표현
1855,흐름
1856,한눈
1860,걱정
1863,넘버
1864,절절
1865,미리암
1866,역항
1867,서지영
1870,어머니
1873,성량
1874,커서
1875,최우혁
1877,장군
1878,포스
1879,스케일
1880,소름
1881,전율
1890,굿굿굿
1891,내용
1893,전차
1895,생각
1897,박진
1899,넘버
1906,노래
1907,연기
1908,자리
1909,사이드
1910,시야
1912,스케일
1915,최선
1916,노력
1917,구현
1923,애정
1927,생각
1930,보아
1931,질리
1933,매력
1935,종교
1936,색채
1937,사람
1939,이유
1941,종교
1942,관련
1948,처음
1949,처음
1951,머릿속
1952,종교
1955,무조건
1956,거부
1960,어려움
1961,신앙
1963,극복
1967,사람
1968,런가
1970,생각
1976,생각
1981,최고
1983,오페라
1984,글라스
1985,대여
1986,런가
1987,무대
1989,생각
1990,기도
1992,연기
1993,시선
1996,조연
1997,앙상블
1999,어마
2000,무시
2001,디테일
2003,연기
2007,앙상블
2008,동작
2010,개연
2013,느낌표
2014,생각
2015,연기
2017,무대
2019,고생
2020,감탄
2022,주연
2027,넘버
2031,생각
2033,사랑
2037,오빠
2038,언니
2039,생일
2040,하루
2041,차이
2043,선물
2044,언니
2047,인터파크
2048,할인
2049,인터페이스
2052,인터파크
2054,오빠
2055,언니
2056,선물
2060,갓상블
2061,갓상블
2062,멤버
2063,리멤버
2065,갓상블
2066,갓상블
2067,예전
2070,기억
2072,귀가
2073,호강
2076,노래
2081,출연
2084,수고
2087,유성
2088,페어
2093,서사
2095,기대
2098,무대
2099,영상
2101,무대
2105,트리플
2106,캐스팅
2108,디테
2111,차이
2113,불구
2116,티토
2117,티르
2118,역할
2120,티르
2121,역할
2123,이해
2124,대사
2125,억지로
2127,말투
2132,생각
2133,티토
2136,미리암
2137,기도
2140,뒤편
2145,표현
2147,요한
2148,번은
2151,사람
2153,노래
2154,드하
2156,금은
2157,공감
2158,넘버
2161,몇몇
2162,장면
2164,올드
2170,호흡
2176,최고
2179,노력
2181,스텝
2182,절로
2183,박수
2185,상블
2195,마무리
2203,유변
2207,최고
2208,감동
2209,두번째
2216,할인
2217,제외
2220,검증
2222,앙상블
2223,조연
2224,음악
2226,감동
2227,아쉬움
2228,아내
2230,진행
2232,열정
2233,정성
2235,미리
2238,부모님
2240,아쉬움
2242,나라
2243,창작
2246,발전
2248,무대
2249,조연
2251,갓상블
2252,제작
2256,감동
2257,창작
2259,엄지
2266,귀가
2268,무대
2269,의상
2271,넘버
2272,창작
2276,스텝
2280,원작
2286,가을
2287,창작
2292,소문
2293,전차경주
2294,장면
2295,앙상블
2296,무대
2300,지다해
2302,처음
2304,구경
2305,갓상블
2309,사랑
2317,지방
2322,여건
2329,재막
2330,세미
2331,막때
2336,진심
2339,고생
2340,굿굿굿굿굿굿굿
2341,울보
2345,연기
2346,맥스
2347,사랑
2348,유유
2350,주연
2351,조연
2352,앙상블
2354,폐막
2356,원작
2358,감동
2364,수고
2367,세미
2369,감정
2370,노래
2372,무르익어
2377,후회
2378,선택
2380,귀가
2382,리기
2383,구성
2384,연출
2385,한국판
2390,희망
2394,최고
2395,고생
2397,원작
2399,원작
2404,노래
2405,성량
2409,처음
2410,회전
2412,볼때
2418,최고
2421,갓상블
2422,무대
2423,볼거리
2425,교훈
2428,엊그제
2429,앙상블
2432,무대
2433,날이갈수록
2435,분한
2436,디테
2440,조명
2443,연기
2444,감명
2446,분한
2450,최고
2452,사고
2454,다행
2455,이구
2456,그동안
2457,고생
2459,최고
2460,무대
2462,스텝
2463,감사
2465,열정
2466,무대
2467,선사
2468,감동
2470,매력
2472,생각
2476,무대
2479,감정
2480,최고
2483,시련
2484,고통
2485,부와
2486,명예
2487,주신
2488,이유
2491,이유
2494,손발
2495,묶인
2497,비명
2500,악몽
2504,운명
2505,이유
2506,무덤
2507,리신
2512,군대
2517,군대
2520,민족
2523,유대
2525,명령
2526,예루살렘
2529,마디
2531,이면
2535,구원
2538,분노
2540,눈가
2542,눈물
2543,이유
2548,대체
2550,운명
2557,목마
2560,주신
2564,말씀
2566,용서
2570,대답
2576,기회
2578,죄인
2581,원한
2582,건가
2583,십자가
2584,지고
2585,조롱
2587,세상
2591,일정
2595,사랑
2596,노력
2597,자부심
2598,가득
2600,내년
2604,박배운님
2605,선택
2606,연기
2607,이기
2608,의심
2612,창작
2615,프랑
2617,슈타인
2619,노래
2621,무대
2622,스케일
2623,장면
2624,장면
2626,화면
2627,무대
2631,전차경주
2634,임팩트
2635,아쉬움
2636,금남
2637,애정
2638,마음
2639,기대
2641,최우혁
2645,매력
2648,케미
2650,최고
2651,앙상블
2653,대박
2655,감탄
2663,다행
2672,귀가
2673,무대
2674,최고
2678,연기
2679,노래
2680,최우혁
2687,상블
2702,기쁨
2705,자막
2708,페어
2712,요안
2713,사람
2714,번만
2715,사람
2720,앙상블
2726,감동
2728,창작
2731,내년
2734,감동
2736,창작
2739,창작
2748,생각
2749,캐스팅
2751,베스트
2753,실력
2755,감동
2761,앙상블
2762,빈틈
2764,무대
2765,넘버
2766,내년
2771,노래
2772,연기
2773,로마
2774,장교
2777,성씨
2784,화보
2785,기분
2796,에너지
2797,가득
2800,주연
2801,셨던
2805,포함
2807,참여
2810,앙상블
2812,수고
2813,스탭
2814,창작
2819,전캐슷
2822,스펙
2824,감동
2825,무대
2826,표현
2827,대반
2828,우려
2832,우려
2834,연기
2835,무대
2836,장치기
2837,충분
2841,최고
2842,무대
2843,인사
2844,여운
2846,선물
2853,무대
2856,연기
2857,인상
2858,연기
