,Nouns
1518,장면
1521,라듐
1522,엔젤스
1523,시계
1524,장면
1525,계단
1527,서서
1528,지휘
1532,변태
1536,디테일
1537,나노
1538,단위
1547,감정
1551,디테
1552,일도
1554,기도
1556,감정
1557,예측
1558,갈수록
1559,슬픔
1560,감정
1562,페어
1563,과학자
1566,바탕
1567,여성
1568,서사
1572,출연
1573,정보
1577,기대
1580,과학자
1585,생각
1590,사이
1591,전문
1592,용어
1593,과학
1594,정치
1595,관련
1596,여성
1597,등장인물
1601,희망이
1602,실험
1603,성격
1609,연기
1610,처음
1615,스카
1619,소름
1627,대사
1628,작가
1629,능력
1630,감탄
1632,무대
1633,관객
1635,원형극장
1636,장면
1637,넘버
1640,몰입
1643,표정
1645,측면
1646,정면
1648,생각
1650,처음
1652,형광
1653,물질
1654,분장
1655,조명
1656,연출
1658,무대
1660,반주
1661,박자
1663,넘버
1665,생각
1666,클라리넷
1667,소리
1668,예술
1669,나중
1674,기억
1676,여성
1677,관객
1678,용기
1682,포함
1685,마음
1691,실험
1692,노트
1693,카드
1694,제공
1696,포함
1697,마케팅
1698,시기
1701,지인
1710,넘버
1711,가사
1713,악보
1714,집도
1715,소장
1720,양루벤
1730,연오
1736,그것
1737,빼주
1739,감동
1743,최고
1745,최고
1755,눈물
1757,서사
1762,기억
1765,호칭
1767,새삼
1771,기억
1774,의미
1776,생각
1778,바보
1782,소재
1784,연기
1785,넘버
1786,다다다
1789,그땐
1791,강추
1794,여성
1795,폴란드인
1796,차별
1798,이유
1799,매력
1800,넘버
1801,배경
1804,일대기
1806,살짝
1808,남편
1809,역할
1810,축소
1819,무대
1820,인사
1824,참여
1826,사람
1827,마음
1832,관객
1833,내용
1835,여성
1836,서사
1838,성별
1842,내용
1847,불만
1850,여성
1851,투탑
1854,소수자
1855,조명하
1859,의의
1861,생각
1863,자리
1864,타지
1865,관객
1871,보아
1874,원형극장
1875,특성
1877,시야
1879,처음
1880,관객
1882,장면
1884,무대
1885,사용
1887,주의
1889,생각
1891,자리
1892,시야
1895,지점
1896,시야
1897,제한
1900,자리
1901,선택
1902,감수
1903,지점
1904,만요
1906,사회
1908,의미
1911,생각
1912,부디
1915,자주
1916,만날
1926,스카
1929,도록
1931,대가
1938,절절
1942,감사
1944,사랑
1946,시국
1953,눈물
1954,환호
1955,대표
1967,사랑
1968,여성
1969,인권
1970,노동자
1971,인권
1972,하락
1975,상황
1977,인종차별
1979,상황
1984,역사
1987,서도
2002,위인
2003,전기
2009,과학자
2010,사랑
2014,댕댕
2018,소리
2021,눈빛
2023,사랑
2024,리사
2028,손짓
2030,표현
2031,호인
2036,최애
2041,계약서
2042,준비
2045,예스
2059,애정
2065,만날
2069,공주
2070,연속
2073,쓰기
2074,은근
2077,세미
2083,감성
2086,첫씬
2087,울면
2088,시작
2089,무대
2091,존재
2094,무대
2099,평생
2102,최고
2104,발음
2105,문송
2106,관객
2107,이과
2108,뮤로
2112,박력
2114,사랑
2116,사랑
2117,고백
2118,승리
2121,최애
2123,절제
2125,동작
2126,눈썹
2127,근육
2128,애정
2130,지구
2131,사랑
2135,우블
2136,폴로늄
2137,발견
2138,댕댕
2139,뒷모습
2141,전기
2152,소속사
2153,인정
2154,퀴링
2155,스타
2160,리사
2164,본인
2170,아영
2174,애정
2175,절절
2177,조만간
2182,스텝
2184,수고
2185,감동
2186,생각
2187,거리
2189,메이드
2194,거나
2195,여자
2197,사람
2199,과학자
2201,주어
2202,조명
2203,해석
2204,넘버
2206,열연
2214,눈물
2215,버튼
2217,자극
2221,사람
2227,몇번
2231,생각
2232,차별
2233,열정
2234,신의
2236,연구
2242,갈등
2243,연기
2247,눈물
2248,콧물
2250,소리
2252,철탑
2256,부검
2262,연구
2263,결과
2264,사람
2266,수도
2270,공감
2272,포기
2274,열정
2275,전달
2281,고생
2283,사회
2284,문제
2287,열정
2292,친구
2294,눈물
2295,범벅
2297,넘버
2299,연기
2300,최고
2304,서울
2305,고등학생
2306,방공
2313,볼때
2317,최고
2318,라이브
2324,라이브
2327,서사
2328,최고
2330,눈물
2341,감동
2342,위로
2343,무대
2346,진심
2347,감사
2351,무대
2352,음악
2354,금방
2359,만날
2363,앙코르
2365,시기
2366,정해진
2373,스탭
2374,그동안
2375,고생
2377,감동
2379,멤버
2383,감동
2386,고생
2394,웃을떄
2403,스카
2405,만날
2419,자첫
2422,서사
2429,기대
2433,자첫
2438,지인
2439,지인
2442,비중
2445,연기
2446,의미
2449,캐스트
2453,기약
2454,처음
2456,사람
2464,추천
2466,스콜
2467,도프
2468,스카
2477,대표
2478,오슷
2479,집도
2480,오슷
2481,딥디
2482,악보
2484,대본
2485,집도
2486,서사
2487,위인
2490,나중
2495,못내
2498,갓캐슷
2501,기억
2502,무형
2506,캐슷
2512,감동
2517,감동
2521,재미
2522,요소
2523,살짝
2524,넘버
2526,박수
2527,커튼
2531,기립
2536,관객
2538,애정
2547,최고
2554,리사
2556,기억
2558,무대
2559,요강
2567,캐스트
2574,오슷
2582,마르
2585,닥처
2586,샤갈
2587,마르
2589,사랑
2590,무대
2592,리사
2594,최고
2595,이쯤
2598,오슷
2599,딥디
2600,오슷
2601,딥디
2603,이부
2605,별하나
2610,나중
2613,보완
2614,나중
2617,여력
2618,나중
2620,나중
2622,나중
2624,나중
2625,기회
2627,우린
2629,이캐슷
2632,딥디
2637,딥디
2640,품절
2641,마테
2643,듐쳐도리
2644,능력
2646,오그
2648,사진
2651,고대로
2652,씨오
2653,앵콜
2655,그것
2656,중계
2657,영상
2658,딥디
2661,혈중
2662,라듐
2663,농도
2672,관계
2676,의지
2683,넘버
2685,폭풍눈물
2689,인정
2692,그녀
2694,마음
2695,감동
2707,선물
2712,무대
2713,인사
2715,무대
2716,의지
2717,제작사
2718,앵콜
2720,추진
2723,시국
2724,시국
2728,제작
2729,판매
2730,사람
2733,도록
2737,앵콜
2738,기기
2744,일해
2745,사랑
2746,창작
2747,산실
2756,제작사
2757,라이브
2759,서사
2760,적극
2761,제작
2762,방향
2764,생각
2768,최고
2769,리사
2775,커튼
2777,하트
2779,객석
2780,무대
2782,하트
2793,무대
2805,라듐
2810,사랑
2813,에너지
2815,사랑
2817,사랑
2818,상황
2821,배려
2822,사랑
2825,감사
2828,만날
2838,조연
2842,앵콜
2852,조연
2856,앵콜
2865,무언가
2867,마음
2869,깊이
2870,오열
2871,최고
2872,사랑
2875,사랑
2876,부디
2888,조연
2892,앵콜
2895,무대
2898,요소
2899,라듐
2902,노력
2903,창작
2905,내의
2909,열정
2910,무대
2917,안대
2918,주변
2919,사람
2920,데리
2929,바브카
2935,얼굴
2936,바브카
2939,표정
2940,된거
2942,사랑
2944,환상
2948,컷콜
2950,팅팅
2951,공감
2954,사람
2963,사랑
2966,앵콜
2977,시기
2979,사랑
2984,최고
2985,짱짱맨
2987,완벽
2988,우주
2989,복판
2992,아뇨
2995,앵콜
2998,혹평
3001,감동
3003,수고
3005,장공
3006,리즈
3010,기대
3012,페어
3013,사랑
3014,핶다
3015,앵콜
3018,앵콜
3019,꼭꼭
3020,최고
3024,감정
3032,기적
3034,은혜
3035,라듐
3036,세상
3037,가득
3038,세상
3041,지도
3044,사랑
3045,쏘러블리
3054,오슷
3055,필수
3057,필수
3059,에르
3060,필수
3065,엠디
3067,라이브
3073,매혹
3074,흥미진진
3075,진리
3078,최고
3083,스카
3087,그녀
3091,기차
3092,만날
3096,노벨상
3098,마담
3102,화가
3106,감정
3109,눈물
3114,앵콜
3122,고생
3123,셧습
3126,감사
3128,앵콜
3136,사랑
3140,기간
3145,소식
3147,무대
3148,인사
3153,애정
3158,순간
3159,관객
3167,매일
3170,박제
3174,구매
3177,열망
3180,리사
3181,서사
3187,라이브
3188,어서
3189,앵콜
3191,디비디
3193,딥디
3207,인물
3208,관계성
3211,감동
3212,넘버
3215,조명도
3216,여기저기
3217,조명
3218,취향
3219,주기율표
3220,조명
3222,다관
3227,인물
3228,서사
3229,감정
3230,넘버
3238,그대
3242,열의
3247,인상
3252,눈빛
3255,천재
3260,넹글
3262,인간
3265,표현
3270,인물
3272,매력
3277,스카
3280,천재
3285,건물
3286,실화
3289,성량
3290,최고
3293,여야
3296,마음
3300,최고
3301,사랑
3304,일주일
3306,시작
3307,눈물
3308,펑펑
3311,존버존버
3315,소리
3323,사랑
3324,달동
3326,사랑
3327,초록빛
3333,최고
3335,흐름
3342,무대
3343,인사
3344,말씀
3345,펑펑
3346,시국
3348,순간
3349,눈물
3351,다행
3354,고요
3360,승리
3362,아영
3365,민수
3371,오래오래
3372,기억
3374,지금껏
3375,서사
3377,최고
3381,최고
3384,고생
3386,기류
3390,한자리
3392,사람
3396,기분
3404,의지
3405,다른사람
3406,북극성
3408,사랑
3410,소리
3414,사랑
3415,사람
3417,목소리
3422,소리
3424,페어
3426,영향력
3429,막도
3432,오슷
3435,이유
3441,오슷
3444,사랑
3448,앵콜
3449,거나
3451,거나
3452,오슷
3453,주거
3454,캐슷
3458,오기
3459,딥디
3460,오슷
3463,최고
3465,앵콜
3467,상황
3468,오든
3473,무시
3474,당하
3475,고개
3477,주장
3479,노력
3482,눈물
3483,그녀
3484,생각
3489,빌어
3496,사랑
3497,인생
3508,정상
3520,므말
3522,감동
3523,최고
3525,다행
3526,생각
3531,서사
3532,취향
3533,이제야
3534,자첫
3536,불찰
3538,생각
3541,수도
3546,사랑
3551,캐슷들
3553,부디
3554,데리
3558,사랑
3563,스카
3572,생각
3574,연기
3575,노래
3585,고자
3586,메세지
3589,생애
3590,감동
3591,생각
3594,위인
3596,제목
3601,넘버
3602,기억
3614,연기력
3615,최고
3616,라이브
3618,앵콜
3619,재발
3620,딥디
3627,연기력
3628,최고
3629,라이브
3631,앵콜
3632,재발
3633,딥디
3640,연기
3643,쵝오
3647,인생
3652,리사
3657,최고
3658,창작
3662,시기
3663,처음
3666,주연
3667,용기
3670,감동
3671,연구자
3673,인간
3677,생각
3681,최고
3683,그동안
3688,이유
3692,단순
3694,앓이
3696,걱정
3700,후회
3705,최대
3706,장점
3708,인물
3709,감정
3710,상황
3711,설명
3715,스콜
3716,도프
3717,스카
3721,만남
3723,감정
3724,소모
3730,여보
3734,사이
3737,마음
3739,줄거리
3740,상관
3742,굳이
3743,설명
3745,무려
3746,여성
3747,주연
3749,여성
3750,주연
3751,극들
3753,추새
3754,남성
3755,주연
3767,이해
3769,여성
3770,주연
3774,여성
3777,시대
3779,여성
3784,분야
3786,높이
3787,제한
3788,엄마
3789,로서
3790,역할
3791,강요
3794,크게
3798,울림
3800,연출
3802,조명
3804,자칫하면
3805,번잡
3806,수도
3807,조명
3808,센스
3809,타이밍
3810,활용
3811,넘버
3814,넘버
3816,도저히
3820,오프닝
3822,노년
3825,시절
3827,설레임
3828,가득
3829,안고
3830,노래
3838,가득
3839,차서
3843,사랑
3847,넘버
3848,직공
3850,볼레로
3852,이유
3853,절망
3854,상황
3857,음악
3858,웅장
3860,상황
3862,대화
3864,넘버
3866,어간
3867,직공
3868,대비
3869,행진곡
3871,반주
3874,연기
3879,연기
3884,마음
3885,전달
3886,관객
3889,대사
3891,사랑
3892,사람
3895,관객
3897,유독
3900,감동
3905,눈물
3906,콧물
3909,공주
3915,연기
3916,조명도
3917,조명
3918,연출
3919,넘버
3920,연기
3924,최고
3925,감동
3928,후회
3931,과학자
3932,인간
3943,친구
3945,우정
3946,남편
3948,사랑
3949,눈물
3950,왈칵
3951,엄마
3952,과학자
3956,스카
3960,본인
3962,외치
3963,커튼
3964,콜때
3967,칠판
3971,본인
3974,명칭
3978,은지
3979,메세지
3980,주시
3983,내일
3987,사랑
3990,수고
3994,시기
3995,시기
3997,연장
4003,최고
4004,사랑
4005,리사
4006,여성
4007,과학자
4008,매력
4010,옷차림
4011,과학
4013,집착
4014,인부
4016,무정
4017,실험
4021,자산
4029,사별
4034,편지
4036,눈물
4037,세상
4040,과학자
4044,거리
4047,대사
4049,반응
4051,사회생활
4052,과학자
4055,평생
4056,후회
4059,마음
4071,분명
4072,객석
4074,바람
4077,금방
4082,최고
4083,실황
4084,평생
4085,간직
4093,최고
4095,스토리
4098,열연
4099,연출
4101,감동
4102,평생
4103,순간
4106,감동
4107,폭풍눈물
4111,흥행
4115,남자
4117,연기
4120,연기
4127,연출
4128,각본
4129,내용
4130,이해
4131,어려움
4133,장임
4134,도구
4135,무대
4136,도중
4137,지루함
4139,추천
4147,추천
4148,캐스팅
4149,변경
4152,자첫
4155,눈물
4158,연역
4162,최고
4163,페어
4167,대레전
4171,남아
