,rating,id,date,views,like,title,text
1366,5.0,fptstysl***예매자,2021.12.20,조회 2,"공감 0
공감하기",너무 좋았어요,너무 재밌었어요
1367,5.0,mame1***예매자,2021.12.20,조회 2,"공감 0
공감하기",웃음감동 행복 모두 챙긴 그저 갓벽한 뮤지컬,쿠로 이사랑 하지 않는 법 몰라요쿠로이만보고 나오면 너무 행복해져서 힘이 막 나네요 힘들면 쿠로이 보러 가요제 에너지 드링크 같은 거예요전 카페인 타우린이 안 맞아서 에너지드링크 못 마시는 데 이젠 괜찮아요 쿠로이가 있거든요
1368,5.0,jyjy***예매자,2021.12.20,조회 2,"공감 0
공감하기",오슥주세여,해웅아 오키야
1369,5.0,sypark***예매자,2021.12.20,조회 2,"공감 0
공감하기",좋은 극입니다,트아때부터 확고한 연출인데 계속 좋다고 생각하고 있어요
1370,5.0,mame1***예매자,2021.12.20,조회 4,"공감 0
공감하기",2021년 한 해를 마무리할 최고의 뮤지컬,정말 재밌습니다 저는 쿠로이가 재미없다는 사람과 이야기 나누기 어려워요 110분 동안 내내 웃다가 가끔 조금 울다가 나와 요 캐릭터 하나하나 너무 매력 있고 다들 너무 좋아요 그냥 평생 쿠로이 보고 싶네요
1371,5.0,dbs8***예매자,2021.12.20,조회 2,"공감 0
공감하기",쿠로이저택엔 누가 살고 있을까,쿠로이완전 사랑
1372,5.0,go***예매자,2021.12.20,조회 3,"공감 0
공감하기",풍금을 챠줘,날 위해서널뉘해서 오슷 줘요
1373,5.0,brendal***예매자,2021.12.20,조회 2,"공감 0
공감하기",짱,요즘 제힐링극
1374,5.0,moonsy1***예매자,2021.12.20,조회 2,"공감 0
공감하기",따뜻하고 행복한 에너지가 가득한 쿠로이저택으로 오세요,따뜻하고 행복한 에너지가 가득한 쿠로이저택으로 오세요지인들다 보여주고 싶은 공연입니다
1375,5.0,kimsuns***예매자,2021.12.20,조회 3,"공감 0
공감하기",박해영이 만들어낸 빅픽쳐,박해영님 당신의 스포가 이 극을 만들었어요
1376,5.0,moonsy1***예매자,2021.12.20,조회 2,"공감 0
공감하기",최고의 힐링 코미디 애국감동 뮤지컬,볼 때마다 너무 행복해지는 공연이에요 초연과 달리 라이브 오케스트라가 아니라 아쉽습니다 대신 녹음된 로내주실 거란 막연한 믿음이 있어요
