,Rating,Id,Date,views,like,Title,Text
5184,4,nety0***예매자,2022.01.10,조회 10,공감 0공감하기,좋았어요,오랫만에 보니 좋더라구요준휘세훈 진짜 너무 찰떡이라늘 느끼지만 준휘배우 늘 기본이상은 해주는데 역까지 잘 어울려서 너무 좋았어요혜진배우도 뭐 늘 잘해주니까 그리고 오랫만에 정표윤 봐서 너무 좋았어요평생 이윤해주시면 좋겠다는하하
5185,5,crazyo***예매자,2022.01.10,조회 12,공감 0공감하기,박준휘 배우님 노래 정말 최고예요,내가 죽었을때 진짜 좋아요
5186,4,apricotl***예매자,2022.01.10,조회 10,공감 0공감하기,팬레터라이브 후기,사연도 역시 재밌네요 극장이 너무 커진게 아쉽습니다
5187,5,pdh***예매자,2022.01.10,조회 8,공감 0공감하기,준휘세훈 너무 좋았습니다,재미있게 봤어요
5188,5,pdh***예매자,2022.01.10,조회 8,공감 0공감하기,좋았습니다,넘버 스토리 연출 배우 모두 좋았어요
5189,5,ekinf***예매자,2022.01.10,조회 9,공감 0공감하기,감동과 서사라이브 후기,두근거리며 적어보낸 편지에 전해지는서로 전해지는 교감과 감동그리고 아픔한번 보고 다시 보고 더 봐야할 극으로 기억에 남깁니다
5190,4,emma0***예매자,2022.01.10,조회 16,공감 0공감하기,다음엔 좀 작은곳에서,넘버 좋고 배우 좋고 공연장은 안좋고 극장이 너무 커서 몰입도가 떨어집니다
5191,5,ondal***예매자,2022.01.10,조회 8,공감 0공감하기,오랜만에 봤는데,좋네요
5192,5,wdt2***예매자,2022.01.10,조회 11,공감 0공감하기,백형훈 잘생겼다,백형훈 완전 잘생겼다
5193,5,myconti***예매자,2022.01.10,조회 9,공감 0공감하기,해진선생님,돌아와주세요 제발
5194,5,pdh***예매자,2022.01.10,조회 9,공감 0공감하기,재미있어요,백형훈 박준휘 소정화 짱짱
5195,5,wldn99***예매자,2022.01.10,조회 12,공감 0공감하기,내가 죽었을 때,따흐흑팬렡은 팬렡이다
5196,5,jhyun***예매자,2022.01.10,조회 11,공감 0공감하기,음,이날 공연은 집중력이 좀 떨어짐 매너리즘에 빠지지 않길 바랍니다
5197,3,char***예매자,2022.01.10,조회 14,공감 0공감하기,좋아요,재밌지만 극장이너무별로다
5198,5,apple8***예매자,2022.01.10,조회 8,공감 0공감하기,재밌었어요,재밌었터요 존잼 짱짱
5199,5,im0***예매자,2022.01.10,조회 8,공감 0공감하기,최거,재밌어요
5200,5,naki***예매자,2022.01.10,조회 9,공감 0공감하기,해진선생님,오늘 해진쌤 곧 죽을 것처럼 숨소리도 쌕쌕하고 너무 처절해서 맴찢어떻게 그런 연기를 하시는거죠김해진이 실존한다면 김경수 해진 아닐리없다 
5201,5,im0***예매자,2022.01.10,조회 8,공감 0공감하기,최고,재밌어요
5202,4,dpdms0***예매자,2022.01.10,조회 9,공감 0공감하기,재밌어요,이번시즌에는 처음 보지만 새로운 배우들이 보여주는 팬레터도 참 재밌네요 이것저것 신경써서 수정한부분도 좋습니다 라이브밴드도 편곡은 익숙지않지만 좋았습니다
5203,5,borum***예매자,2022.01.10,조회 10,공감 0공감하기,팬레터,다정함이 파멸의 끝을 보게 하는
5204,5,tpdkdu***예매자,2022.01.10,조회 10,공감 0공감하기,다시 돌아온 펜레터 너무 사랑해요,김경수 해진선생님을 다시 볼 수 있어서 감격입니다 바뀐 서사랑 의상도 극에 찰떡으로 어울리고 너무 좋았어요 곧 재관람하러 다시 가겠습니다 그치만 할인 조금만 더 풀어주시면좋겠어요
5205,5,bib***예매자,2022.01.10,조회 10,공감 0공감하기,내가 눈떳을때라이브 후기,때는 바야흐로 봄이였다들을때마다 눈물나네요
5206,5,nasan1***예매자,2022.01.10,조회 13,공감 0공감하기,시야가 아쉬웠지만,팬레터는 여전히 좋았네요
5207,4,queen***예매자,2022.01.10,조회 12,공감 0공감하기,박준휘 배우 너무 귀여워요라이브 후기,김경수 배우가 머리를 살짝살짝 헝클어트리는데 저라도 그렇게 할 것 같은 귀여움
5208,5,oook1***예매자,2022.01.10,조회 8,공감 0공감하기,넘버좋아요라이브 후기,연기미쳤네준휘세훈 정말 너무 잘해펑펑울었어오
5209,5,notice0***예매자,2022.01.10,조회 10,공감 0공감하기,배우들이 참 좋아요,마지막 부분 연기들이 다 좋은 거 같아요
5210,5,jidorid***예매자,2022.01.10,조회 8,공감 0공감하기,준휘세훈 철윤,케미에 울었어요 
5211,5,crazyo***예매자,2022.01.10,조회 8,공감 0공감하기,노래가 좋아요,휘몰아치는 스토리도 좋지만 노래가 정말 좋네요
5212,5,notice0***예매자,2022.01.10,조회 10,공감 0공감하기,배우들 역량이 대단한 거 같아요라이브 후기,넘버들이 다 취향인데 배우들이 정말 잘 소화한 거 같아요
