,같고,같네요,같다,같습니다,같아,같아서,같아요,같은,같은데,굉장히,그런,그런지,기대하고,넘치는,많아서,많은,멋지고,멋진,새로운,솔직히,아깝지,아니,아니라,아닌,아름다운,아쉬운,아쉬워요,아쉽네요,어떤,어떻게,엄청난,없고,없네요,없는,없다,없어,없어서,없을,여전히,예쁘고,완벽한,유명한,이런,입니다,있게,있고,있네요,있는,있는데,있다,있다면,있습니다,있어,있어서,있어요,있었는데,있었다,있었던,있었습니다,있었어요,있었지만,있을,있지만,재미있게,재미있어요,재미있었어요,재밌게,재밌고,재밌는,재밌습니다,재밌어요,재밌었습니다,재밌었어요,좋겠습니다,좋겠어요,좋고,좋네요,좋다,좋습니다,좋아,좋아서,좋아요,좋아하는,좋았고,좋았구요,좋았다,좋았던,좋았습니다,좋았어요,좋았지만,좋은,좋을,즐거운,즐겁게,추합니다,행복한,행복했습니다,화려하고,화려한,훌륭한
25,0.026281637,0.013420411,0.014538778,0.032432659,0.05927348,0.024604086,0.13196737,0.090587771,0.013420411,0.0206898,0.043616334,0.012861227,0.009506124,0.004569678,0.011183675,0.044175518,0.008752499,0.030195924,0.035787761,0.010624492,0.0017505,0.015657146,0.015097962,0.012861227,0.072134707,0.016216329,0.023485718,0.021248983,0.027400005,0.041379599,0.005032654,0.022367351,0.010624492,0.075489809,0.011424194,0.011183675,0.011183675,0.007828573,0.027959189,0.213608201,0.022926535,0.003044609,0.041379599,0.24604086,0.026281637,0.044175518,0.011742859,0.209693915,0.020130616,0.022926535,0.010065308,0.038024497,0.058714296,0.079404096,0.052004091,0.013979594,0.005032654,0.013979594,0.024604086,0.020130616,0.013709033,0.032432659,0.02516327,0.047530621,0.040820415,0.013979594,0.114632674,0.03858368,0.019571432,0.021134759,0.145387781,0.029077556,0.055359194,0.020130616,0.039702048,0.317616383,0.081081647,0.022367351,0.052004091,0.044734702,0.092265323,0.539612341,0.036346945,0.069897972,0.011742859,0.032432659,0.021808167,0.221995958,0.405967419,0.007996936,0.286302092,0.027400005,0.025722454,0.02516327,0.014538778,0.05927348,0.039142864,0.005971677,0.004768531,0.005032654
26,0.01658912,0.04758458,0.061117809,0.120489395,0.030122349,0.027066458,0.239232567,0.13969785,0.018771899,0.053696361,0.070722036,0.085564933,0.034487907,0.066445721,0.028376126,0.116560393,0.057397972,0.267172137,0.051513582,0.032305128,0.036443157,0.022264345,0.064610255,0.043219022,0.017462231,0.049330803,0.013096673,0.024883679,0.036670686,0.0641737,0.022700901,0.057188807,0.024010568,0.147992409,0.022297222,0.017462231,0.039726576,0.026629903,0.020954677,0.015716008,0.056315696,0.093651105,0.052823249,0.377184194,0.047148024,0.084255266,0.025756791,0.301223488,0.035361018,0.03099546,0.022700901,0.036670686,0.051513582,0.125291509,0.031868572,0.030122349,0.034051351,0.02793957,0.062427477,0.036670686,0.036121499,0.029249237,0.029685793,0.128783955,0.032741684,0.03929002,0.192084543,0.065919923,0.036670686,0.019175611,0.079889708,0.04452869,0.096915383,0.013533229,0.020081566,0.108702389,0.032741684,0.01135045,0.020081566,0.012223562,0.043219022,0.108265833,0.053259805,0.093859493,0.030558905,0.051077026,0.02793957,0.25756791,0.241415346,0.024972889,0.327853391,0.017462231,0.17898787,0.104773387,0.028376126,0.041472799,0.02793957,0.06475137,0.197773798,0.037543797
27,0.025741715,0.017612752,0.028451369,0.05554791,0.115160302,0.039289985,0.182901656,0.125998919,0.021677233,0.04199964,0.067741354,0.037935158,0.012193444,0.0193755,0.060967219,0.101612031,0.008482451,0.066386527,0.035225504,0.017612752,0.004241226,0.024386887,0.033870677,0.018967579,0.004064481,0.054193083,0.052838256,0.043354467,0.028451369,0.054193083,0.010838617,0.035225504,0.018967579,0.107031339,0.006919821,0.028451369,0.017612752,0.017612752,0.008128962,0.004064481,0.029806196,0.023605369,0.090773414,0.302126439,0.031161023,0.082644452,0.020322406,0.335997116,0.014903098,0.021677233,0.017612752,0.047418948,0.056902737,0.149030979,0.075870317,0.025741715,0.014903098,0.021677233,0.024386887,0.039289985,0.016607571,0.075870317,0.024386887,0.111095821,0.060967219,0.052838256,0.256062318,0.155805114,0.112450648,0.034599107,0.272320243,0.059612392,0.287223341,0.039289985,0.077225144,0.199159581,0.027096542,0.010838617,0.020322406,0.174772694,0.070451008,0.184256483,0.090773414,0.070451008,0.013548271,0.036580331,0.028451369,0.158514769,0.209998198,0.006919821,0.216772333,0.044709294,0.184256483,0.159869596,0.029806196,0.093483069,0.044709294,0.019291425,0.034660529,0.010838617
28,0.005953662,0.008599733,0.010253528,0.021499333,0.018522503,0.008268974,0.04200639,0.045313979,0.004299867,0.014553395,0.020176297,0.008268974,0.004299867,0.003378723,0.004961385,0.020507056,0.004141705,0.025137682,0.015214913,0.004961385,0.003106279,0.004630626,0.008268974,0.00959201,0.033406656,0.013561118,0.007938215,0.014222636,0.008268974,0.00959201,0.004630626,0.011907323,0.005292144,0.044321702,0.006757447,0.008268974,0.008268974,0.005953662,0.007607456,0.013891877,0.004299867,0.000720358,0.019514779,0.063174964,0.007938215,0.015545672,0.005622903,0.084012779,0.00628442,0.010584287,0.003638349,0.011576564,0.015545672,0.023814646,0.007607456,0.00628442,0.005622903,0.005953662,0.011907323,0.006615179,0.00574383,0.015545672,0.012238082,0.007938215,0.005292144,0.002976831,0.017530226,0.001653795,0.002646072,0.004730213,0.008930492,0.003969108,0.006615179,0.011907323,0.012568841,0.055236749,0.029768308,0.008599733,0.017860985,0.010253528,0.022822369,0.973423659,0.009922769,0.028114513,0.009922769,0.013230359,0.015214913,0.089635682,0.071113179,0.008108936,0.081697466,0.00628442,0.003969108,0.00330759,0.000661518,0.00330759,0.003638349,0.000784948,0.005993778,0.007607456
29,0.014815144,0.02539739,0.039305484,0.081936817,0.021466841,0.020559792,0.188363975,0.104915408,0.018140993,0.041421933,0.042328983,0.052306529,0.016326893,0.021928512,0.028118539,0.087681465,0.0394372,0.206504968,0.033258487,0.019955092,0.025870803,0.014512794,0.043236033,0.019652742,0.080122718,0.04988773,0.046561881,0.053515929,0.037189035,0.046259532,0.017233943,0.033258487,0.019955092,0.138778595,0.016369171,0.016931593,0.02479269,0.020862142,0.021164492,0.02479269,0.068331073,0.031936585,0.044143082,0.364936305,0.035072586,0.04958538,0.014210444,0.179293479,0.019350392,0.017233943,0.018140993,0.032049087,0.040817234,0.104613058,0.02449034,0.022071541,0.021164492,0.018443343,0.045957182,0.020559792,0.030576376,0.021164492,0.02418799,0.060469976,0.016629243,0.020862142,0.103101309,0.02569974,0.009372846,0.012354091,0.357679907,0.013001045,0.216482514,0.019652742,0.02539739,0.160850136,0.079518018,0.016629243,0.019955092,0.013303395,0.05049243,0.356470508,0.048678331,0.086774415,0.019652742,0.040817234,0.029025588,0.2515551,0.222227161,0.026252444,0.312932125,0.019652742,0.066819323,0.046864231,0.02479269,0.033863187,0.034770236,0.097225077,0.199821203,0.042026633
30,0.036668378,0.039287548,0.047145058,0.090797889,0.029683925,0.039287548,0.294220084,0.151911854,0.039287548,0.049764228,0.048891171,0.068971474,0.029683925,0.032997812,0.051510341,0.139689061,0.047373123,0.148419627,0.075955927,0.041033662,0.021864518,0.033176152,0.061987021,0.044525888,0.024445586,0.068971474,0.050637285,0.041906718,0.029683925,0.054129511,0.042779775,0.066352304,0.036668378,0.22524861,0.024079485,0.014841963,0.034049209,0.026191699,0.031430039,0.019207246,0.056748681,0.019014256,0.062860077,0.462720014,0.038414492,0.057621738,0.018334189,0.214771931,0.026191699,0.020953359,0.029683925,0.046272001,0.041906718,0.113497362,0.034049209,0.023572529,0.019207246,0.015715019,0.043652831,0.020080302,0.040132474,0.021826416,0.034922265,0.071590644,0.028810869,0.019207246,0.121354872,0.021826416,0.01047668,0.018728488,0.070717587,0.016588076,0.045398945,0.029683925,0.034922265,0.204295251,0.057621738,0.022699472,0.041033662,0.026191699,0.118735702,0.203422195,0.057621738,0.112624305,0.018334189,0.063733134,0.039287548,0.285489518,0.266282272,0.02586315,0.281124235,0.020080302,0.041033662,0.040160605,0.021826416,0.048018115,0.034049209,0.108775457,0.124705984,0.027937812
31,0.028611952,0.042917928,0.041078588,0.116900262,0.040465475,0.029838179,0.28591515,0.149395264,0.025955128,0.051501514,0.060902584,0.068464314,0.030246921,0.022546764,0.021867706,0.101776801,0.04819635,0.221538258,0.06948617,0.038626135,0.033694793,0.020845851,0.055793307,0.040874217,0.082361548,0.051910256,0.024320159,0.04884469,0.035969311,0.050888401,0.026568241,0.06580749,0.03004255,0.146942811,0.015657475,0.019006511,0.029633808,0.03576494,0.034538714,0.022072077,0.071325509,0.030044166,0.059063244,0.443689629,0.042304815,0.057428275,0.027385726,0.195787501,0.02820321,0.019823995,0.025955128,0.033108116,0.038013022,0.098506864,0.036173682,0.033108116,0.019823995,0.025750757,0.049866545,0.029429437,0.039456837,0.025137644,0.030655663,0.057223904,0.029225065,0.023502675,0.091762618,0.023707046,0.013692863,0.012943513,0.057223904,0.017984656,0.044552897,0.018393398,0.02636387,0.161248787,0.059471986,0.014919089,0.032495003,0.02064148,0.070099283,0.19742247,0.057632646,0.097893751,0.025955128,0.03944362,0.038217393,0.288980717,0.357853773,0.030062352,0.337621035,0.012671007,0.050888401,0.041078588,0.021254593,0.04332667,0.031268776,0.07032612,0.105222027,0.04332667
32,0.020830583,0.035213605,0.071915109,0.163172901,0.039181335,0.022814448,0.162180969,0.152261644,0.013887055,0.035213605,0.075882839,0.052076458,0.020830583,0.022798468,0.016862853,0.215249359,0.035192272,0.216737258,0.028270077,0.02926201,0.04554294,0.018846718,0.095225523,0.051580492,0.019838651,0.052572424,0.00793546,0.018846718,0.064971581,0.056540154,0.020830583,0.034221672,0.021326549,0.175572058,0.03293112,0.019838651,0.033725706,0.026286212,0.022814448,0.003471764,0.042157133,0.023223492,0.116552072,0.551018521,0.056540154,0.061499817,0.012895123,0.35858361,0.02529428,0.022814448,0.030253942,0.043149065,0.047612761,0.07836267,0.013887055,0.034221672,0.034221672,0.05306839,0.094729557,0.021326549,0.041037242,0.03322974,0.031245875,0.036701504,0.007439494,0.009919325,0.036701504,0.012399157,0.00396773,0.001519898,0.003471764,0.007439494,0.014383022,0.039677301,0.024798313,0.076378805,0.023806381,0.010911258,0.017854786,0.010415292,0.038685369,0.048604694,0.030253942,0.058524019,0.020334617,0.032733774,0.028270077,0.22318482,0.153749542,0.021785203,0.391317384,0.024302347,0.022814448,0.019838651,0.026782178,0.021326549,0.011407224,0.015889678,0.039650939,0.070923176
33,0.030549109,0.030973402,0.038610679,0.112861986,0.042005025,0.0373378,0.266456117,0.134076645,0.024609004,0.053036647,0.054309527,0.057279579,0.030973402,0.013435962,0.030549109,0.103103243,0.041175156,0.182446067,0.036913507,0.035216334,0.057999414,0.01739602,0.059825338,0.025033298,0.102254656,0.067886909,0.017820314,0.032246282,0.041580732,0.077221359,0.053460941,0.047945129,0.033519161,0.146381147,0.017770143,0.018244607,0.027154764,0.025881884,0.01739602,0.071281254,0.070008375,0.020791485,0.058128166,0.48029988,0.037762093,0.053036647,0.033094868,0.208327951,0.029276229,0.022487539,0.035216334,0.038186386,0.039034973,0.100981777,0.035640627,0.030124816,0.024609004,0.0186689,0.061522511,0.035216334,0.037707376,0.034367748,0.033094868,0.055158113,0.0186689,0.016123141,0.096314552,0.025457591,0.011455916,0.014736216,0.04667225,0.016123141,0.034367748,0.027579057,0.030549109,0.152745545,0.036913507,0.020366073,0.033519161,0.016123141,0.07340272,0.173535911,0.055158113,0.11880209,0.023760418,0.046247957,0.035216334,0.285125017,0.321189937,0.024704833,0.298278105,0.020790366,0.050490888,0.037762093,0.022911832,0.057703872,0.039459266,0.165638448,0.177745527,0.060673925
34,0.007523749,0.026333122,0.078999365,0.056428118,0.105332487,0.045142494,0.255807468,0.131665608,0.018809373,0.026333122,0.109094361,0.033856871,0.007523749,0,0.018809373,0.221950597,0,0.030094996,0.026333122,0.011285624,0.00392546,0.022571247,0.045142494,0.075237491,0.097808738,0.026333122,0.007523749,0.018809373,0.052666243,0.067713741,0.007523749,0.007523749,0.015047498,0.056428118,0.034585004,0.015047498,0.026333122,0.007523749,0.022571247,0.11661811,0.003761875,0.004096484,0.067713741,0.188093726,0.04138062,0.067713741,0.015047498,0.327283084,0.026333122,0.022571247,0.018809373,0.026333122,0.071475616,0.131665608,0.052666243,0.033856871,0.003761875,0.022571247,0.018809373,0.011285624,0.015371113,0.097808738,0.067713741,0.037618745,0.048904369,0.030094996,0.206903099,0.011285624,0.011285624,0.007685556,0.078999365,0.026333122,0.033856871,0.078999365,0.08276124,0.229474346,0.08276124,0.022571247,0.033856871,0.018809373,0.071475616,0.319759335,0.037618745,0.071475616,0.007523749,0.030094996,0.04138062,0.255807468,0.353616206,0.019213891,0.376187453,0.026333122,0.030094996,0.011285624,0.007523749,0.052666243,0.026333122,0,0.00401,0.003761875
