"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"25215","1","뮤지컬아이다","문화공연","뮤지컬","라이선스","168","1224","1392","20220801"
"25216","2","뮤지컬웃는남자","문화공연","뮤지컬","창작","175","1204","1379","20220801"
"25217","3","신비아파트뮤지컬","문화공연","뮤지컬","창작","68","1060","1128","20220801"
"25218","4","뮤지컬빨래","문화공연","뮤지컬","창작","113","531","644","20220801"
"25219","5","뮤지컬사의찬미","문화공연","뮤지컬","창작","100","483","583","20220801"
"25220","6","뮤지컬엘리자벳","문화공연","뮤지컬","라이선스","126","407","533","20220801"
"25221","7","뮤지컬팬레터","문화공연","뮤지컬","창작","61","315","376","20220801"
"25222","8","뮤지컬뚝딱하니어흥","문화공연","뮤지컬","어린이/가족","24","215","239","20220801"
"25223","9","뮤지컬영웅","문화공연","뮤지컬","창작","57","179","236","20220801"
"25224","10","뮤지컬알사탕","문화공연","뮤지컬","어린이/가족","12","200","212","20220801"
