"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"23415","1","뮤지컬사의찬미","문화공연","뮤지컬","창작","280","1292","1572","20220401"
"23416","2","뮤지컬레베카","문화공연","뮤지컬","창작","133","1076","1209","20220401"
"23417","3","뮤지컬리지","문화공연","뮤지컬","어린이/가족","150","571","721","20220401"
"23418","4","뮤지컬빨래","문화공연","뮤지컬","창작","139","476","615","20220401"
"23419","5","뮤지컬아이다","문화공연","뮤지컬","라이선스","153","455","608","20220401"
"23420","6","뮤지컬싯다르타","문화공연","뮤지컬","창작","88","421","509","20220401"
"23421","7","뮤지컬킹아더","문화공연","뮤지컬","라이선스","89","400","489","20220401"
"23422","8","뮤지컬잭더리퍼","문화공연","뮤지컬","라이선스","41","328","369","20220401"
"23423","9","뮤지컬지킬앤하이드","문화공연","뮤지컬","라이선스","80","238","318","20220401"
"23424","10","뮤지컬라이온킹","문화공연","뮤지컬","오리지널","59","219","278","20220401"
