"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"17595","1","이별식당","문화공연","뮤지컬","뮤지컬","1742","1366","3108","20200901"
"17596","2","뮤지컬팬레터","문화공연","뮤지컬","창작","605","2026","2631","20200901"
"17597","3","뮤지컬여신님이보고계셔","문화공연","뮤지컬","창작","405","2046","2451","20200901"
"17598","4","뮤지컬베르테르","문화공연","뮤지컬","창작","349","1807","2156","20200901"
"17599","5","뮤지컬적벽","문화공연","뮤지컬","창작","262","595","857","20200901"
"17600","6","뮤지컬모차르트","문화공연","뮤지컬","라이선스","139","518","657","20200901"
"17601","7","뮤지컬제이미","문화공연","뮤지컬","창작","112","490","602","20200901"
"17602","8","뮤지컬캣츠","문화공연","뮤지컬","창작","175","395","570","20200901"
"17603","9","뮤지컬마리퀴리","문화공연","뮤지컬","창작","116","377","493","20200901"
"17604","10","뮤지컬썸씽로튼","문화공연","뮤지컬","라이선스","84","395","479","20200901"
