"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"22515","1","뮤지컬레베카","문화공연","뮤지컬","창작","62","1322","1384","20220101"
"22516","2","뮤지컬캣츠","문화공연","뮤지컬","창작","29","979","1008","20220101"
"22517","3","뮤지컬시카고","문화공연","뮤지컬","라이선스","53","883","936","20220101"
"22518","4","뮤지컬시카고","문화공연","뮤지컬","라이선스","53","883","936","20220101"
"22519","5","뮤지컬하데스타운","문화공연","뮤지컬","라이선스","47","887","934","20220101"
"22520","6","뮤지컬잭더리퍼","문화공연","뮤지컬","라이선스","59","731","790","20220101"
"22521","7","뮤지컬팬레터","문화공연","뮤지컬","창작","49","729","778","20220101"
"22522","8","뮤지컬지킬앤하이드","문화공연","뮤지컬","라이선스","32","595","627","20220101"
"22523","9","뮤지컬빨래","문화공연","뮤지컬","창작","49","549","598","20220101"
"22524","10","뮤지컬빌리엘리어트","문화공연","뮤지컬","라이선스","40","534","574","20220101"
