"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"21545","1","뮤지컬엑스칼리버","문화공연","뮤지컬","창작","256","2522","2778","20211001"
"21546","2","뮤지컬레베카","문화공연","뮤지컬","창작","563","1685","2248","20211001"
"21547","3","뮤지컬광화문연가","문화공연","뮤지컬","창작","116","1589","1705","20211001"
"21548","4","뮤지컬하데스타운","문화공연","뮤지컬","라이선스","218","1368","1586","20211001"
"21549","5","신비아파트뮤지컬","문화공연","뮤지컬","창작","75","599","674","20211001"
"21550","6","뮤지컬시카고","문화공연","뮤지컬","라이선스","152","480","632","20211001"
"21551","7","뮤지컬시카고","문화공연","뮤지컬","라이선스","152","480","632","20211001"
"21552","8","뮤지컬마리앙투아네트","문화공연","뮤지컬","라이선스","95","484","579","20211001"
"21553","9","뮤지컬사랑했어요","문화공연","뮤지컬","창작","91","423","514","20211001"
"21554","10","뮤지컬헤드윅","문화공연","뮤지컬","라이선스","130","371","501","20211001"
