"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"20325","1","뮤지컬시카고","문화공연","뮤지컬","라이선스","834","2377","3211","20210601"
"20326","2","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","884","2281","3165","20210601"
"20327","3","뮤지컬마리앙투아네트","문화공연","뮤지컬","라이선스","437","1520","1957","20210601"
"20328","4","뮤지컬엑스칼리버","문화공연","뮤지컬","창작","246","1645","1891","20210601"
"20329","5","신비아파트뮤지컬","문화공연","뮤지컬","창작","91","657","748","20210601"
"20330","6","뮤지컬광화문연가","문화공연","뮤지컬","창작","149","584","733","20210601"
"20331","7","뮤지컬1976할란카운티","문화공연","뮤지컬","창작","163","569","732","20210601"
"20332","8","뮤지컬쓰릴미","문화공연","뮤지컬","라이선스","129","383","512","20210601"
"20333","9","뮤지컬빨래","문화공연","뮤지컬","창작","138","303","441","20210601"
"20334","10","뮤지컬블루레인","문화공연","뮤지컬","창작","71","314","385","20210601"
