SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
26755,1,뮤지컬영웅,문화공연,뮤지컬,창작,568,8436,9004,20230101
26756,2,뮤지컬빨래,문화공연,뮤지컬,창작,40,746,786,20230101
26757,3,뮤지컬캣츠,문화공연,뮤지컬,창작,62,616,678,20230101
26758,4,뮤지컬드라큘라,문화공연,뮤지컬,라이선스,50,496,546,20230101
26759,5,뮤지컬엘리자벳,문화공연,뮤지컬,라이선스,29,314,343,20230101
26760,6,신비아파트뮤지컬,문화공연,뮤지컬,창작,9,256,265,20230101
26761,7,뮤지컬스위니토드,문화공연,뮤지컬,라이선스,26,181,207,20230101
26762,8,뮤지컬오페라의유령,문화공연,뮤지컬,오리지널,36,157,193,20230101
26763,9,뮤지컬시카고,문화공연,뮤지컬,라이선스,8,152,160,20230101
26764,10,뮤지컬시카고,문화공연,뮤지컬,라이선스,8,152,160,20230101
