"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"23755","1","뮤지컬영웅","문화공연","뮤지컬","창작","80","1001","1081","20220501"
"23756","2","뮤지컬레베카","문화공연","뮤지컬","창작","62","1010","1072","20220501"
"23757","3","뮤지컬아이다","문화공연","뮤지컬","라이선스","69","928","997","20220501"
"23758","4","뮤지컬빨래","문화공연","뮤지컬","창작","90","855","945","20220501"
"23759","5","뮤지컬킹아더","문화공연","뮤지컬","라이선스","56","648","704","20220501"
"23760","6","뮤지컬리지","문화공연","뮤지컬","어린이/가족","63","574","637","20220501"
"23761","7","뮤지컬광주","문화공연","뮤지컬","라이선스","38","525","563","20220501"
"23762","8","뮤지컬웃는남자","문화공연","뮤지컬","창작","45","382","427","20220501"
"23763","9","뮤지컬지킬앤하이드","문화공연","뮤지컬","라이선스","35","279","314","20220501"
"23764","10","뮤지컬하데스타운","문화공연","뮤지컬","라이선스","18","290","308","20220501"
