"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"16765","1","뮤지컬제이미","문화공연","뮤지컬","라이선스","12898","1140","14038","20200801"
"16766","2","뮤지컬모차르트","문화공연","뮤지컬","라이선스","2997","237","3234","20200801"
"16767","3","뮤지컬렌트","문화공연","뮤지컬","뮤지컬","2178","187","2365","20200801"
"16768","4","뮤지컬베르테르","문화공연","뮤지컬","창작","2146","183","2329","20200801"
"16769","5","뮤지컬오페라의유령","문화공연","뮤지컬","오리지널","1491","136","1627","20200801"
"16770","6","뮤지컬마리퀴리","문화공연","뮤지컬","라이선스","1412","113","1525","20200801"
"16771","7","뮤지컬빨래","문화공연","뮤지컬","라이선스","981","70","1051","20200801"
"16772","8","뮤지컬브로드웨이42번가","문화공연","뮤지컬","창작","917","58","975","20200801"
"16773","9","신비아파트뮤지컬","문화공연","뮤지컬","창작","857","32","889","20200801"
"16774","10","뮤지컬썸씽로튼","문화공연","뮤지컬","라이선스","728","66","794","20200801"
