"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"22155","1","뮤지컬어쩌면해피엔딩","문화공연","뮤지컬","창작","233","2182","2415","20211201"
"22156","2","뮤지컬레베카","문화공연","뮤지컬","창작","322","1674","1996","20211201"
"22157","3","뮤지컬빌리엘리어트","문화공연","뮤지컬","라이선스","262","1214","1476","20211201"
"22158","4","뮤지컬하데스타운","문화공연","뮤지컬","라이선스","133","973","1106","20211201"
"22159","5","뮤지컬팬레터","문화공연","뮤지컬","창작","228","820","1048","20211201"
"22160","6","뮤지컬빨래","문화공연","뮤지컬","창작","224","765","989","20211201"
"22161","7","뮤지컬시카고","문화공연","뮤지컬","라이선스","166","764","930","20211201"
"22162","8","뮤지컬시카고","문화공연","뮤지컬","라이선스","166","764","930","20211201"
"22163","9","뮤지컬잭더리퍼","문화공연","뮤지컬","라이선스","153","734","887","20211201"
"22164","10","뮤지컬지킬앤하이드","문화공연","뮤지컬","라이선스","131","459","590","20211201"
