"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"13715","1","뮤지컬시티오브엔젤","문화공연","뮤지컬","라이선스","5168","0","5168","20191001"
"13716","2","뮤지컬스위니토드","문화공연","뮤지컬","라이선스","3499","1114","4613","20191001"
"13717","3","뮤지컬레베카","문화공연","뮤지컬","라이선스","2803","702","3505","20191001"
"13718","4","뮤지컬사랑했어요","문화공연","뮤지컬","창작","2476","674","3150","20191001"
"13719","5","뮤지컬마리앙투아네트","문화공연","뮤지컬","라이선스","1965","1027","2992","20191001"
"13720","6","뮤지컬벤허","문화공연","뮤지컬","창작","2190","685","2875","20191001"
"13721","7","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","1977","668","2645","20191001"
"13722","8","뮤지컬친정엄마","문화공연","뮤지컬","창작","1355","810","2165","20191001"
"13723","9","뮤지컬아이다","문화공연","뮤지컬","라이선스","1533","478","2011","20191001"
"13724","10","뮤지컬시라노","문화공연","뮤지컬","라이선스","1306","298","1604","20191001"
