"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"15845","1","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","2139","218","2357","20200501"
"15846","2","뮤지컬레베카","문화공연","뮤지컬","라이선스","1391","104","1495","20200501"
"15847","3","뮤지컬모차르트","문화공연","뮤지컬","라이선스","928","154","1082","20200501"
"15848","4","뮤지컬요한계시록","문화공연","뮤지컬","창작","549","78","627","20200501"
"15849","5","뮤지컬빨래","문화공연","뮤지컬","라이선스","461","117","578","20200501"
"15850","6","뮤지컬렌트","문화공연","뮤지컬","뮤지컬","465","78","543","20200501"
"15851","7","뮤지컬영웅","문화공연","뮤지컬","창작","419","61","480","20200501"
"15852","8","뮤지컬제이미","문화공연","뮤지컬","라이선스","330","37","367","20200501"
"15853","9","뮤지컬리지","문화공연","뮤지컬","라이선스","309","57","366","20200501"
"15854","10","뮤지컬베르테르","문화공연","뮤지컬","창작","308","33","341","20200501"
