SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
27973,1,뮤지컬영웅,문화공연,뮤지컬,창작,408,3082,3490,20230501
27974,2,뮤지컬친정엄마,문화공연,뮤지컬,창작,68,884,952,20230501
27975,3,뮤지컬빨래,문화공연,뮤지컬,창작,83,516,599,20230501
27976,4,뮤지컬레드북,문화공연,뮤지컬,창작,126,446,572,20230501
27977,5,뮤지컬시카고,문화공연,뮤지컬,라이선스,83,481,564,20230501
27978,6,뮤지컬시카고,문화공연,뮤지컬,라이선스,83,481,564,20230501
27979,7,뮤지컬모차르트,문화공연,뮤지컬,라이선스,84,400,484,20230501
27980,8,뮤지컬호프,문화공연,뮤지컬,창작,94,315,409,20230501
27981,9,뮤지컬해적,문화공연,뮤지컬,창작,73,335,408,20230501
27982,10,뮤지컬해적,문화공연,뮤지컬,창작,73,335,408,20230501
