"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"14025","1","뮤지컬스위니토드","문화공연","뮤지컬","라이선스","3831","1100","4931","20191101"
"14026","2","뮤지컬아이다","문화공연","뮤지컬","라이선스","3573","1319","4892","20191101"
"14027","3","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","3547","898","4445","20191101"
"14028","4","뮤지컬레베카","문화공연","뮤지컬","라이선스","2903","902","3805","20191101"
"14029","5","뮤지컬빅피쉬","문화공연","뮤지컬","뮤지컬","1083","2347","3430","20191101"
"14030","6","뮤지컬마리앙투아네트","문화공연","뮤지컬","라이선스","1413","508","1921","20191101"
"14031","7","뮤지컬귀환","문화공연","뮤지컬","뮤지컬","1494","307","1801","20191101"
"14032","8","신비아파트뮤지컬","문화공연","뮤지컬","창작","1189","97","1286","20191101"
"14033","9","뮤지컬위윌락유","문화공연","뮤지컬","라이선스","499","460","959","20191101"
"14034","10","뮤지컬미스터쇼","문화공연","뮤지컬","뮤지컬","811","108","919","20191101"
