,Nouns
1257,성기윤
1261,열정
1262,무대
1263,볼거리
1271,아씨
1275,수고
1282,즐거움
1283,노래
1287,남자
1289,목소리
1294,결코
1296,거금
1298,후회
1299,여유
1300,주연
1302,문자
1304,폭발
1305,가창력
1307,혼연
1308,일체
1309,군무
1310,예술
1312,절로
1313,무대
1321,주저
1324,거금
1325,투자
1328,무대
1331,열연
1332,몰입
1333,최고
1336,기립박수
1338,전율
1343,여운
1344,남아
1355,사랑
1356,주제
1357,군무
1358,무대
1360,볼거리
1362,그동안
1363,보아
1367,꼽는
1371,명성
1373,최고
1374,캐스팅
1383,매료
1388,래야
1394,눈물
1395,대시
1397,직접
1398,김준현
1400,노래
1401,모태
1405,연기
1406,암투
1408,중이
1409,시라
1410,이정열
1413,감동
1419,큐브
1420,아트
1421,센터
1422,처음
1433,최고
1434,무대
1436,연기
1437,노래
1440,재미
1441,감동
1442,무대
1443,목소리
1444,무대
1445,몰입
1446,대안
1455,글쎄요
1464,여주
1465,포스
1466,앙상블
1469,앙상블
1472,무대
1473,연출
1474,명작
1475,생각
1476,그것
1485,꼽는
1491,드림캐스트
1493,무대
1494,인사
1500,최수형
1503,응원
1507,세미
1513,소감
1515,연구
1516,발전
1524,최고
1530,깊이
1531,할인
1532,무작정
1535,엄마
1536,생각
1543,성대
1544,연기
1545,주연
1546,앙상블
1548,인상
1551,완젼
1554,뮤직
1557,대략
1558,스토리
1561,달리
1562,무대
1563,생각
1565,웅장
1566,오케스트라
1567,소리
1568,전율
1570,소재
1571,로맨스
1572,주가
1575,서도
1577,노래실력
1579,감탄
1580,체적
1582,이집트
1583,박물관
1585,남녀
1586,사랑
1588,과거
1589,연인
1591,예전
1592,드림걸즈
1593,처음
1597,연기
1599,역할
1601,최고
1604,공주
1606,연기
1607,사랑
1608,사람
1610,나라
1611,여왕
1612,홀로
1613,고독
1614,여왕
1617,표현
1621,소냐
1623,폭팔
1624,가창력
1625,무대
1626,노래
1628,음성
1630,최고
1631,사랑
1635,목소리
1637,생각
1640,스키
1641,보이스
1642,살짝
1644,연기
1645,반면
1646,무대
1647,구성
1648,살작
1649,구성
1653,무대
1654,기대
1655,세기
1656,연인
1657,사랑
1660,뮤직
1662,처음
1663,시도
1664,사람
1665,사랑
1666,연인
1673,대박
1678,인터파크
1679,메일
1680,쿠폰
1685,구역
1687,자리
1691,절절
1693,가득
1698,감동
1699,말로
1700,표현
1704,집중
1705,최고
1706,처음
1708,마음
1714,사랑
1716,마음
1718,순간
1723,최고
1727,예전
1732,본적
1738,캐스팅
1739,소냐
1740,최수형
1742,성기윤
1745,기억
1748,살짝
1753,러브스토리
1754,설득
1757,기억
1760,수트
1765,보고서
1771,관객
1772,사랑
1777,외모
1778,싱크로
1780,소냐
1782,누비아
1783,백성
1784,지도자
1785,공주
1786,남자
1787,사랑
1788,여자
1791,역할
1792,사이
1793,갈등
1796,소냐
1798,가창력
1801,연기
1803,새삼
1805,앞열
1807,소냐
1809,표정
1810,연기
1814,눈물
1818,소냐
1824,세기
1825,최고
1826,러브스토리
1830,앙상블
1833,순간
1834,절절
1841,진심
1842,감동
1844,톡톡
1845,말투
1846,가창력
1847,연기력
1848,와우
1851,친구
1856,소리
1864,두번째
1869,감동
1872,기대
1873,상이
1875,소냐
1876,이수형
1879,김준현
1885,감동
1888,누비아
1889,공주
1891,이집트
1892,장군
1895,사랑
1897,무대
1904,김준현
1906,기회
1908,고민
1909,할인
1913,버전
1915,매력
1917,연보
1918,수준
1919,준비
1920,생각
1921,엘튼존
1922,음악
1923,이집트
1924,형상
1925,무대
1926,최고
1928,환상
1929,조합
1932,감동
1936,공주
1937,최고
1941,공주
1942,최고
1947,하진
1949,상상
1952,더더
1954,매료
1956,신시
1957,최고
1958,컴퍼니
1959,사랑
1961,자주
1965,매료
1967,노래
1968,박수갈채
1973,안무
1974,무대
1975,배경
1978,재미
1981,업그레이드
1982,강력
1983,추천
1987,널리
1988,추천
1989,환타
1990,스틱
1994,하셧겠
1995,열연
1998,취향
2000,역사
2001,소설
2002,역사
2003,로맨스
2006,벼르
2007,기대
2008,커서
2009,생각
2011,굴곡
2012,러브스토리
2015,대비
2016,내용
2019,허탈
2021,상대
2024,지식
2025,대작
2026,내용
2027,감동
2029,보신
2033,기대
2035,러브
2037,주위
2038,배경
2039,사건
2040,위주
2041,내용
2043,러브스토리
2044,중심
2045,보시
2046,추천
2047,소냐
2050,스타일
2051,최수형
2052,괜스레
2055,인사
2056,이정열
2058,김준현
2060,생각
2061,박수
2062,호응
2064,친분
2069,둘걸
2070,기도
2073,스탈
2078,막바지
2081,조명
2082,무대
2083,연출
2084,인상
2086,파워
2089,가창력
2091,김준현
2095,군무
2096,박력
2098,흐름
2099,줄거리
2102,감성
2103,관점
2105,기대
2107,아쉬움
2108,생기
2109,기도
2111,열정
2112,열연
2114,박수
2119,어제
