,Rating,Id,Date,views,like,Title,Text
2217,5,zzanglee1***예매자,2020.08.10,조회 14,공감 1공감하기,재밌네여라이브 후기,잘봤습니다
2218,4,inar***예매자,2020.08.10,조회 26,공감 1공감하기,프리뷰 공연인데라이브 후기,넘 좋았어요 내용도 넘 재밌고 넘버도 좋고 무엇보다 배우님들 최고십니다
2219,5,subinr***예매자,2020.08.10,조회 17,공감 1공감하기,웰컴투더르네상스,익살스러운 연출 캐 넘버들이 정말 즐거웠습니다
2220,5,subinr***예매자,2020.08.10,조회 18,공감 1공감하기,와 너무 재믺어요 세상에,지루할 틈이 1도 없다는
2221,4,je3***예매자,2020.08.10,조회 20,공감 1공감하기,썸씽로튼,재미있게 봤어요
2222,5,jangso***예매자,2020.08.10,조회 16,공감 1공감하기,썸로,신선하고 재밌네용
2223,4,dhss***예매자,2020.08.10,조회 24,공감 1공감하기,가볍게 보고오기 좋은 극이에요,배우들도 앙상블도 너무 잘하고 유쾌하고 가벼운 극인 것 같아요 기분전환하거나 가족끼리 보러오기도 좋아보이네요 즐겁게 보고왔어요
2224,4,wlgid0***예매자,2020.08.10,조회 18,공감 0공감하기,프리뷰공연,재밌는데 약간 루즈한 느낌이 들었어요공연 중간에 마이크 안 나오는 문제가 있었어서 별 하나 뺐습니다
2225,4,ble***예매자,2020.08.10,조회 20,공감 0공감하기,뮤지컬 썸씽로튼   ,뮤지컬 썸씽로튼   
2226,5,muso***예매자,2020.08.10,조회 17,공감 1공감하기,정말 재밌어요,뮤우지칼
2227,5,mystyleh***예매자,2020.08.10,조회 24,공감 1공감하기,아이 해브 투 노 나올때 웃겨서 울었어요,노윤 나이젤 잘생겼다
2228,3,wcrcj***예매자,2020.08.10,조회 38,공감 0공감하기,썸씽로튼,재밌는부분도 불편한부분도 있네요
2229,5,mrk***예매자,2020.08.10,조회 16,공감 1공감하기,썸씽로튼 흥겨움라이브 후기,러닝타임 내내 흥겨에 몸이 들썩이는 시간이었습니다지루할 틈이 없네요봐도또 보고 싶은 뮤지컬배우님들의 연기와 노래 만족스러운 시간이었습니다
2230,3,wcrcj***예매자,2020.08.10,조회 36,공감 0공감하기,잘봤습니다,재밌는 부분들도 있었지만 대사 그만큼 불편한 부분도 많았네요
2231,4,39m***예매자,2020.08.10,조회 20,공감 0공감하기,뮤지컬 썸씽로튼   ,뮤지컬 썸씽로튼   
2232,5,tretretre***예매자,2020.08.10,조회 17,공감 1공감하기,번역라이브 후기,너어어어어어무 잘됐어요귀에 착붙
2233,5,kich0***예매자,2020.08.10,조회 18,공감 1공감하기,썸씽로튼,넘버는 물론이고 나이젤이랑 포샤 너무 사랑스러웠어요  특히 나이젤의 조금 모자란 듯 하지만 순수한 연기 최고
2234,5,nature1***예매자,2020.08.10,조회 28,공감 1공감하기,닉이 분량이 많은데,윌오빠가 임팩트 있어요
2235,5,ewk***예매자,2020.08.10,조회 21,공감 1공감하기,이렇게 가사대사가 착 붙다니라이브 후기,너무 좋네요 나 가 나왔으면 정말 좋겠어요 프리뷰인데도 공연을 몇 달은 올린 것처럼 다들 잘해서 더더욱 좋았습니다
2236,5,goun0***예매자,2020.08.10,조회 15,공감 0공감하기,뮤지컬 썸씽로튼   ,뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   뮤지컬 썸씽로튼   
