,index,Rating,Id,Date,views,like,Title,Text
71,71,5,tndus5***예매자,2020.09.01,조회 14,"공감 0
공감하기",너무 재미있어요~!,렌트 다시보고싶네요 너무보고싶다너무보고싶다
72,72,5,rebecca***예매자,2020.09.01,조회 17,"공감 0
공감하기",멋진공연,너무 재밌어요
73,73,5,rebecca***예매자,2020.09.01,조회 11,"공감 0
공감하기",멋진공연,또 보고싶어요
74,74,5,slc***예매자,2020.08.31,조회 8,"공감 0
공감하기",너무 재밌었어요..,그리워요 렌트 다 빌려쓰는거니까
75,75,5,sominji1***예매자,2020.08.31,조회 7,"공감 0
공감하기",NO DAY BUT TODAY,   정말 오랜만에 올라온 극인데도 불구하고 시국과 적절하게 맞아 떨어졌던 볼 때마다 에너지를 가득 얻고 돌아갈 수 있던 작품이었어요와 함께 사랑을 빌릴 수 있어서 행복했어요 꼭 다시 만나길
77,77,5,motore***예매자,2020.08.31,조회 7,"공감 0
공감하기",렌트,렌트 꼭 다시 돌아와주세요
78,78,5,jhyun***예매자,2020.08.31,조회 8,"공감 0
공감하기",ㅠㅠ 렌트,막공표 취소당하고 우러요 빨리 와주세요
79,79,5,tani031***예매자,2020.08.31,조회 8,"공감 0
공감하기",너무 아쉬워요 꼭 다시 돌아와주세요,갑자기 마지막 공연을 보게되서 너무 아쉽고 슬펐습니다 일년안에 또 렌트 온다고 생각하고 기다릴게요요번 렌트 정말 최고였습니다 모든 배우분들 연출 음악 다 너무 좋았어요공연기간 내내 항상 완벽했어요 너무 즐거웠습니다
80,80,5,smnaka***예매자,2020.08.31,조회 8,"공감 0
공감하기",멋진 시간이었습니다.,멋진 음악이 함께한 즐거운 시간이었습니다
81,81,5,uv***예매자,2020.08.31,조회 8,"공감 0
공감하기",내사랑 렌트,사랑해이 말 뿐이야 
82,82,5,sonasu0***예매자,2020.08.31,조회 8,"공감 0
공감하기",렌트 너무 아쉬워요,렌트 정말 좋은 공연이었어요
83,83,5,musichol***,2020.08.30,조회 11,"공감 0
공감하기",렌트,안녕
84,84,4,enu***예매자,2020.08.29,조회 11,"공감 0
공감하기",굿,   한곡만 들어도 본전은 뽑고도 남는 뮤지컬
85,85,5,shabyc***예매자,2020.08.28,조회 17,"공감 0
공감하기",최고에요,역시 렌트  너무 재미있게 봤습니다
86,86,5,cla***예매자,2020.08.28,조회 44,"공감 0
공감하기",얼떨결에 막공,막공이 취소가 돼서 막공이 되어버렸는데 최재림 콜린을 못보게되었지만 그래도 에너지가 넘치는 무대에 감동받았습니다
87,87,5,ladys***예매자,2020.08.28,조회 20,"공감 0
공감하기",다음 번에 또 올라오길,이번에 코로나때문에 마지막에 많이 못봐서 너무 아쉽습니다다음에 꼭 또 올라왔으면 좋겠어요
88,88,5,ladys***예매자,2020.08.28,조회 12,"공감 0
공감하기",괜히 렌트가 아니네요,막 내리기 전에 한번 볼 수 있어서 정말 다행이였어요더 많이 보지 못해서 아쉽네요
89,89,4,hides***예매자,2020.08.27,조회 12,"공감 0
공감하기",최고,슬프면서도 가슴 따뜻한 극이에요  크리스마스에 특공했으면 좋겠네요
90,90,5,hedy1***예매자,2020.08.27,조회 9,"공감 0
공감하기",진자진짜 최고,또 보고싶어요 사랑해요 렌트 
91,91,4,ginapark1***예매자,2020.08.26,조회 43,"공감 0
공감하기",오래 기다렸던 렌트!,배우분들 너무 다 잘하시고 특히 여배우분들은 캐릭터가 다 찰떡이에요합창도 정말 멋져서 감동받았어요아쉬운 점은 음향이 조금 안좋아서 소리가 물리는 경우가 많아요
92,92,4,lemonju***예매자,2020.08.26,조회 7,"공감 0
공감하기",감사합니다,짜앚에
93,93,5,touch***예매자,2020.08.25,조회 6,"공감 0
공감하기",최고의무대★★★★,멋진연출화려한연기와 좋은음악밴드음악에 더해진 감동스토리탄탄 참좋아요전원기립박수치던 모습이 감동입니다
94,94,5,yl9***예매자,2020.08.25,조회 7,"공감 0
공감하기",인생뮤지컬,넘버도 좋고 배우분들도 너무 잘하셔서 좋았어요렌트 다시 돌아올거죠
95,95,4,shs***예매자,2020.08.25,조회 20,"공감 0
공감하기",왜 사랑받는지 알 것 같았다,한국에서 렌트 공연을 한다기에 예전부터 한번쯤 보고 싶었던 공연이라 봤는데왜 오랜시간 사랑 받아왔는지 알 것 같았다캐릭터 하나하나가 다 살아있고 넘버들도 좋고렌트에는   만이 있는게 아니었다는 걸 알게 되었다
96,96,5,hsunn***,2020.08.25,조회 9,"공감 0
공감하기",ㅠㅠ,
97,97,5,tndus5***예매자,2020.08.25,조회 7,"공감 0
공감하기",너무 재미있어요~!,고마웠어요 진짜 살면서 렌트같은 뮤지컬 다신 못만날거같아요다음에 또 올수있다고해도 2020년의 렌트랑은 다를테니까그래도 꼭 다시와줘요 기다릴게요
98,98,5,tndus5***예매자,2020.08.25,조회 8,"공감 0
공감하기",너무 재미있어요~!,너무 고마웠어요
99,99,5,hula***예매자,2020.08.25,조회 12,"공감 0
공감하기",마지막이였다니...,이 공연이 마지막이였다니난 믿을수없어 이별을
100,100,5,sypark***예매자,2020.08.25,조회 4,"공감 0
공감하기",뜨거운 에너지,렌트만의 뜨거운 에너지 잊지 못할거에요 고생하셨습니다
101,101,5,yas***예매자,2020.08.24,조회 9,"공감 0
공감하기",열정넘치는무대!,잊지 못할겁니다 배우님들 모두 감사합니다건강하세요
102,102,5,psb***예매자,2020.08.24,조회 10,"공감 0
공감하기",렌트 최고였어요!!!!,잊지 못할 공연이었습니다모든 배우님들 수고하셨습니다
103,103,5,jmccj2***예매자,2020.08.24,조회 18,"공감 0
공감하기",렌트 돌아와주세요ㅜㅜ,23일 막공표를 쥐고 19일 자체 세미막을 즐기고 왔는데 이게 막공이 되었을 줄은 몰랐어요 시국에 누구보다 잘 대처하고 안전하게 시작했지만 어쩌다 이렇게 되었는지 정말 세상이 싫네요 렌트 한여름의 크리스마르를 안겨줘서 고마웠고 다음에는 한겨울의 따뜻한 크리스마스로 돌아오자 다들 수고많으셨습니다 매일매일이 최고였어요
104,104,5,jmccj2***예매자,2020.08.24,조회 14,"공감 0
공감하기",렌트 잘가ㅠㅠ,정말 사랑했다크리스마스 분위기 풍기는 무대부터 귀에 쏙쏙 박히는 넘버 캐릭터에 찰떡이었던 배우들까지꼭 돌아와주세요
105,105,5,robbi***예매자,2020.08.24,조회 13,"공감 0
공감하기",이날이 수하미미 막공일줄은 ㅠㅠ,너무 슬프네요 렌트 덕분에 행복한 여름이었습니다
106,106,5,robbi***예매자,2020.08.24,조회 12,"공감 0
공감하기",최고,벌써 그리워요 렌트
