,index,Rating,Id,Date,views,like,Title,Text
75,75,5,dldhsdbb2***예매자,2020.11.02,조회 13,"공감 0
공감하기",꼭 돌아와줬으면 하는 뮤지컬!,사실 썸씽로튼이라는 뮤지컬을 처음 봤을 때는 순식간에 스쳐지나가는 가사들과 대사들을 이해하지 못하고 응 응 하며 극을 잘 이해하지 못한 채 집에 돌아왔지만 유튜브에 가사와 함께 올라왔있는 영상들과 작년 영상들의 해석본들 몇 번씩 보고 읽고 들으며 가사를 익힌 채 다시 뮤지컬을 관람하니 훨씬 더 재미있고 훨씬 더 신나는 뮤지컬이었습니다 또한 배우님들이 해석하신 각자의 캐릭터의 색깔이 너무나 재각각 다르고 재미있어서 <썸씽로튼>의 여러 감정들을 다양하게 즐길 수 있었던 것 같습니다 극 흐름도 극 이해도 음향도 모두 만족스러웠고 무엇보다   넘버를 들을 때마다 같이 환호하고 편안하게 즐길 수 없다는 게 너무 아쉬웠어요 마스크가 없었더라면 배우님들 모두에게 목청껏 환호하고 박수치며 정말 말 그대로 관객과 배우님들이 하나 되어 즐길 수 있는 뮤지컬이 됐을텐데 신나는 뮤지컬을 보면서도 가만히 앉아 박수만 쳐야 한다는 사실이 많이 슬펐습니다 다만 총막공 세미막공 때 배우님들이 말씀하셨던 것처럼 언젠가 이 배우님들이 모두 다시 만나는 그날에는 더 신나고 재미있게 <썸씽로튼>을 즐길 수 있길 바라며 <썸씽로튼>이 건강한 어느 날 재연되는 날만 기다리고 있겠습니다 한 순간도 재미없는 부분이 없었던 말 그대로 웃음 가득했던 <썸씽로튼> 정말 만족스러웠고 꼭 다시 만나길 바랍니다
76,76,5,soons***예매자,2020.11.02,조회 9,"공감 0
공감하기",썸씽로튼,코로나의 우울함도 날려버리고썸씽로튼과 함께 신나게 웃을 수 있었던 10월이었습니다
77,77,5,jwo***예매자,2020.11.02,조회 10,"공감 0
공감하기",될까 봐도 다시,잊지 못할 총막이었습니다 무대인사때 약속한대로 꼭 호시절에 다시 돌아와주세요그때는 마스크 없이 싱얼롱 하면서 보고싶습니다 
78,78,5,pkcjshmwj***예매자,2020.11.01,조회 20,"공감 0
공감하기",매니아를 위한 뮤지컬,매니아라면 즐겁고 재밌을 수 있는 코미디 포인트들이 엄청 많았다 존잼
79,79,5,chlwlsd***예매자,2020.10.30,조회 14,"공감 0
공감하기",왜 막공주에 봐서ㅠㅠ,너무 늦게 봤은데 또 너무재밌고 쫌만 읽찍 볼껄
80,80,5,whgpdnjs1***예매자,2020.10.30,조회 10,"공감 0
공감하기",돌아와요..,진짜 매일이 레전드 시국 좋아지면 하루 빨리 돌아오기
81,81,5,bbom2***예매자,2020.10.30,조회 7,"공감 0
공감하기",최고!!!,최고
82,82,5,pam***예매자,2020.10.29,조회 10,"공감 0
공감하기",보내기 아쉬워요,다음시즌에 꼭 돌아오리라 믿습니다그날까지 씨디 열심히 듣고 있을게요
83,83,5,pam***예매자,2020.10.29,조회 6,"공감 0
공감하기",흥미진진,차라서 더 좋았어요배우들 너무 찰떡이고 가사되짚기도 좋구요진짜 번역이 정말잘되서 감탄하며 봤샙다신나는건 당연하고 잔재미까지 완벽했습니다다음시즌 기다릴게요
84,84,5,jeonga1***예매자,2020.10.29,조회 6,"공감 0
공감하기",넘넘 재밌었어요,앙상블과의 화음 하며 배우들의 연기 노래까지 뭐하나 빠지는게 없었어요
