,rating,id,date,views,like,title,text
1460,5,binu0***예매자,2018.11.12,조회 2,"공감 0
공감하기",강렬하고 소름끼치는 공연이었습니다,베르나르다 알바 첫 등장씬부터 소름끼쳤습니다빨간 조명이 비치는 문이 열리고 영주 배우가 객석을 노려보는데 무서웠습니다폰시아 첫 넘버는 가사가 잘 들리지 않았습니다음향이 별로 안 좋아서 중간중간 잘 안 들리는 대사도 많았습니다여배우들로만 이루어진 공연이렇게 잘하는 여배우들이 많구나 알게해준 공연이었습니다영주배우도 눈길이 자주 갔지만 마르티리오역의 여배우님도 진심곱추처럼 연기가 자연스러웠고 인상 깊었습니다국악 창소리같은 넘버와 플라멩고 박수가 심장을 뛰게 하더군요마지막 결말 또한 소름이 쫙 끼쳤습니다 영주배우의 쉿전석매진이라 한번밖에 못 봤다는 것이 너무 아쉬운 공연입니다빠른 시간에 재연이 돌아오길 희망합니다좋은 공연 기획해주신 분들 연기하신 배우분들 감사합니다
1461,5,kitigml***예매자,2018.11.12,조회 2,"공감 0
공감하기",재연으로 만나고 싶어요,10명의 배우의 에너지가 고스란히 전해졌던잊을 수 없는 극입니다
1462,5,kitigml***예매자,2018.11.12,조회 1,"공감 0
공감하기",강렬한 기운을 전해주는,새로운 시작의 가능성을 보여준 극
1463,5,coolgg0***예매자,2018.11.12,조회 1,"공감 0
공감하기",베르나르다 알바,잘봤습니다멋진 공연 보여주신 10명의 배우분들 너무 멋졌어요
1464,5,coolgg0***예매자,2018.11.12,조회 1,"공감 0
공감하기",베르나르다 알바,잘봤습니다무대도 배우들도 멋지네요
1465,5,ty1***예매자,2018.11.12,조회 3,"공감 0
공감하기",최고의 공연,최고의 공연입니다여배우들이 내뿜는 에너지감사합니다
1466,4,coolgg0***예매자,2018.11.12,조회 2,"공감 0
공감하기",베르나르다 알바,여배우 10명만 나오는 공연 신선했습니다
1467,5,huh***예매자,2018.11.12,조회 1,"공감 0
공감하기",무조건,본공 올려야해
1468,5,ariyu***예매자,2018.11.12,조회 1,"공감 0
공감하기",재연 꼭 돌아와주세요,재연 꼭 돌아와주세요
1469,5,doc0***예매자,2018.11.12,조회 2,"공감 0
공감하기",꼭 다시 만나고 싶은 공연,이번에는 매진이라 두번 볼 수 없지만 다음에 다시 볼 수 있었으면 합니다
1470,5,dddd1***예매자,2018.11.12,조회 2,"공감 0
공감하기",좋은공연 추천합니다,열명의 여배우들이 만드는 무대라는 자체로 큰도전과 상징적의미를 보여주었고 너무 좋은공연이었습니다
1471,5,by***예매자,2018.11.12,조회 2,"공감 0
공감하기",,어디서 10명의 여배우의 연기 노래 이런 스토리를 또 볼 수 있을까 
1472,5,cama***예매자,2018.11.12,조회 4,"공감 0
공감하기",널 위한 노래,완벽한 널 찬양할래
1473,5,vpoo***예매자,2018.11.12,조회 7,"공감 0
공감하기",이 극을 한번이라도 볼 수 있어서 다행입니다,열명의 출연자 전원이 여자배우고 그들이 연기하는 각 캐릭터마다 서사가 있다는 당연한 사실이 충격적일정도로한국공연계는 남자주인공 중심의 극들이 많다는걸 깨달았습니다 훌륭한 연출과 의상 소품 동선 효과 넘버는 특색있지만 조화롭게 극 속에 녹아있었고 배우들의 연기는 더 말할 것도 없이 최고였습니다
1474,5,borum***예매자,2018.11.12,조회 3,"공감 0
공감하기",베르나르다 알바,열명의 배우님들이 전하는 에너지는 최고 였습니다새로운 신선한 느낌의 넘버 또한 좋았고요
1475,5,yen***예매자,2018.11.12,조회 5,"공감 0
공감하기",연장해주세요,정말 공연은 너무 좋아요 그런데 가끔 초대로 오는 남자 관계자들이 문제네요 관계자라면서 이 극의 의미도 제대로 이해하지도 못하고
1476,5,yen***예매자,2018.11.12,조회 5,"공감 0
공감하기",정말 꼭 봐야해요,너무 좋아요 배우분들 모두 최곱니다
