,word,count
0,영원히,374
1,멋진,143
2,완벽한,85
3,재밌어요,73
4,행복한,68
5,행복했어요,66
6,행복했습니다,61
7,재밌었어요,56
8,재미있어요,54
9,어려운,41
10,성장하는,39
11,아쉬워요,37
12,아름다운,36
13,새로운,34
14,건강하게,33
15,힘든,33
16,좋겠습니다,32
17,무사히,32
18,즐거운,31
19,재밌고,31
