,word,count
0,넘버,449
1,최고,181
2,노래,178
3,무대,155
4,조명,149
5,연기,138
6,중독,137
7,서사,85
8,앙상블,63
9,몰입,58
10,사랑,51
11,생각,51
12,처음,46
13,자리,46
14,음악,45
15,성대,44
16,연출,43
17,백성,40
18,추천,39
19,내용,39
