,word,count
0,따뜻한,179
1,힘든,178
2,행복한,108
3,재미있게,107
4,있었습니다,97
5,재밌고,96
6,유명한,95
7,멋진,94
8,즐겁게,94
9,예뻐요,82
10,재밌었어요,79
11,재밌어요,77
12,힘들,74
13,있다는,74
14,즐거운,73
15,있었어요,68
16,좋을,68
17,새로운,68
18,다양한,66
19,예뻐,61
