,word,count
0,따뜻한,83
1,행복한,66
2,재미있게,60
3,재밌어요,59
4,따뜻해지는,46
5,따뜻하고,43
6,가볍게,40
7,재밌었어요,35
8,아쉬운,33
9,슬픈,33
10,새로운,31
11,슬퍼요,27
12,좋았던,27
13,예쁘고,24
14,슬프고,23
15,행복했던,22
16,아픈,22
17,행복하게,21
18,어려운,20
19,아름다운,20
