,word,count
0,로봇,359
1,연기,285
2,기억,276
3,생각,223
4,감동,201
5,마음,181
6,눈물,179
7,넘버,161
8,최고,148
9,무대,146
10,힐링,140
11,사람,133
12,내용,123
13,위로,97
14,처음,96
15,사랑,89
16,스톤,85
17,노래,85
18,추천,85
19,과거,79
