,word,count
0,노래,796
1,생각,569
2,사랑,564
3,연기,492
4,넘버,481
5,무대,462
6,최고,413
7,내용,340
8,감동,314
9,처음,294
10,대사,270
11,사람,262
12,음향,209
13,음악,208
14,전달,200
15,관객,190
16,이해,181
17,가사,174
18,기대,164
19,에너지,163
