word,count
좋았던,3917
재미있는,2111
멋진,1262
아쉬운,921
즐거운,856
행복한,507
완벽한,411
화려한,352
아름다운,338
새로운,315
훌륭한,277
멋지고,258
넘치는,239
기대하고,215
엄청난,214
멋졌습니다,208
멋있었어요,203
유명한,191
불타는,191
멋졌어요,185
