,word,count
0,연기,7478
1,최고,7404
2,노래,5323
3,무대,4104
4,감동,4070
5,루시,3497
6,생각,3276
7,처음,2695
8,목소리,2513
9,홍광호,2436
10,순간,2203
11,넘버,2150
12,사람,1895
13,류정,1807
14,기대,1802
15,소름,1767
16,앙상블,1401
17,표현,1298
18,가창력,1263
19,자리,1221
