word,count
좋았던,720
재미있는,292
즐거운,278
멋있는,228
행복한,165
젊은,160
아쉬운,151
익숙한,144
아름다운,109
신나는,90
붉은,73
따듯한,71
귀여운,55
새로운,47
잔잔한,37
소중한,36
예쁜,34
깊은,30
슬픈,28
충분한,27
