,word,count
0,피아노,230
1,연기,211
2,연주,155
3,넘버,117
4,생각,115
5,무대,113
6,연출,93
7,서사,93
8,최고,91
9,장면,85
10,피아니스트,84
11,노래,80
12,미니,72
13,사람,69
14,원작,53
15,인상,52
16,크뤼,51
17,이해,50
18,재능,50
19,내용,48
