,word,count
0,영웅,3120
1,안중근,2482
2,감동,2318
3,생각,1436
4,무대,1434
5,노래,1369
6,연기,1303
7,최고,1155
8,의사,920
9,장면,775
10,눈물,714
11,넘버,624
12,마음,622
13,역사,605
14,처음,597
15,양준,570
16,사람,568
17,이토,467
18,내용,445
19,추천,441
