word,count
좋았던,674
아름다운,376
재미있는,208
멋있는,186
아쉬운,177
행복한,134
예쁜,133
즐거운,85
따듯한,79
슬픈,67
새로운,64
잔잔한,56
아픈,43
지루한,38
다양한,36
완벽한,31
화려한,31
힘든,29
슬프지만,25
깊은,22
