word,count
좋았던,482
아름다운,230
재미있는,219
아쉬운,147
행복한,104
예쁜,101
슬픈,95
새로운,73
멋있는,72
따듯한,59
잔잔한,58
즐거운,38
아픈,28
힘든,24
깊은,23
귀여운,22
지루한,20
완벽한,16
유일한,15
어려운,14
