word,count
좋았던,796
재미있는,411
아쉬운,276
화려한,241
즐거운,173
멋진,170
행복한,143
새로운,87
아름다운,77
귀엽고,76
완벽한,65
멋있고,53
멋지고,52
엄청난,49
다양한,47
찬란한,46
멋져요,43
귀여운,39
진정한,38
멋있었어요,37
