word,count
재미있는,1724
좋았던,155
멋있는,71
아쉬운,67
화려한,55
즐거운,44
신나는,32
새로운,25
행복한,19
강한,17
예쁜,15
그렇고,11
아름다운,9
조악하는,9
실망했어요,9
재미없고,9
유치합니다,9
슬픈,8
귀여운,6
잘생겼다,6
