,word,count
0,최고,1741
1,노래,826
2,연기,674
3,언니,613
4,사랑,564
5,무대,546
6,처음,544
7,생각,517
8,감동,437
9,넘버,369
10,관객,334
11,추천,304
12,사람,294
13,동석,277
14,위로,273
15,감정,273
16,마음,257
17,동드윅,245
18,눈물,239
19,제이민,229
