,word,count
0,노래,2953
1,연기,2797
2,넘버,2582
3,무대,2560
4,최고,2127
5,감동,2092
6,생각,1693
7,음악,1438
8,처음,1159
9,사랑,920
10,연출,878
11,목소리,841
12,천재,781
13,기대,723
14,마음,672
15,장면,664
16,운명,659
17,가사,657
18,아버지,636
19,사람,604
