,word,count
0,탭댄스,952
1,무대,650
2,번가,419
3,노래,407
4,연기,367
5,생각,294
6,최고,274
7,앙상블,222
8,군무,203
9,처음,194
10,의상,173
11,볼거리,163
12,스토리,156
13,추천,152
14,가족,131
15,노력,130
16,열정,123
17,감동,123
18,장면,121
19,연습,116
