"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"22825","1","뮤지컬엑스칼리버","문화공연","뮤지컬","창작","78","2299","2377","20220201"
"22826","2","뮤지컬레베카","문화공연","뮤지컬","창작","63","1202","1265","20220201"
"22827","3","뮤지컬빌리엘리어트","문화공연","뮤지컬","라이선스","25","906","931","20220201"
"22828","4","뮤지컬하데스타운","문화공연","뮤지컬","라이선스","32","899","931","20220201"
"22829","5","뮤지컬팬레터","문화공연","뮤지컬","창작","27","698","725","20220201"
"22830","6","뮤지컬잭더리퍼","문화공연","뮤지컬","라이선스","24","693","717","20220201"
"22831","7","뮤지컬라이온킹","문화공연","뮤지컬","오리지널","64","648","712","20220201"
"22832","8","신비아파트뮤지컬","문화공연","뮤지컬","창작","11","559","570","20220201"
"22833","9","뮤지컬빨래","문화공연","뮤지컬","창작","39","398","437","20220201"
"22834","10","뮤지컬지킬앤하이드","문화공연","뮤지컬","라이선스","33","342","375","20220201"
