"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"18815","1","뮤지컬베르테르","문화공연","뮤지컬","창작","92","524","616","20210101"
"18816","2","뮤지컬젠틀맨스가이드","문화공연","뮤지컬","라이선스","27","239","266","20210101"
"18817","3","뮤지컬그날들","문화공연","뮤지컬","창작","22","234","256","20210101"
"18818","4","신비아파트뮤지컬","문화공연","뮤지컬","창작","8","143","151","20210101"
"18819","5","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","5","134","139","20210101"
"18820","6","뮤지컬캣츠","문화공연","뮤지컬","창작","25","112","137","20210101"
"18821","7","뮤지컬모차르트","문화공연","뮤지컬","라이선스","14","109","123","20210101"
"18822","8","뮤지컬영웅","문화공연","뮤지컬","창작","14","90","104","20210101"
"18823","9","뮤지컬빨래","문화공연","뮤지컬","창작","12","85","97","20210101"
"18824","10","뮤지컬레베카","문화공연","뮤지컬","창작","13","70","83","20210101"
