"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"20015","1","뮤지컬시카고","문화공연","뮤지컬","라이선스","443","5031","5474","20210501"
"20016","2","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","179","1616","1795","20210501"
"20017","3","신비아파트뮤지컬","문화공연","뮤지컬","창작","48","846","894","20210501"
"20018","4","뮤지컬마리앙투아네트","문화공연","뮤지컬","라이선스","71","798","869","20210501"
"20019","5","뮤지컬스쿨오즈","문화공연","뮤지컬","뮤지컬","29","475","504","20210501"
"20020","6","뮤지컬캣츠","문화공연","뮤지컬","창작","37","460","497","20210501"
"20021","7","뮤지컬해적","문화공연","뮤지컬","창작","37","452","489","20210501"
"20022","8","뮤지컬나빌레라","문화공연","뮤지컬","창작","32","364","396","20210501"
"20023","9","뮤지컬드림스쿨","문화공연","뮤지컬","창작","27","351","378","20210501"
"20024","10","뮤지컬스위니토드","문화공연","뮤지컬","라이선스","27","323","350","20210501"
