"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"21855","1","뮤지컬엑스칼리버","문화공연","뮤지컬","창작","284","1611","1895","20211101"
"21856","2","뮤지컬빌리엘리어트","문화공연","뮤지컬","라이선스","300","1395","1695","20211101"
"21857","3","뮤지컬시카고","문화공연","뮤지컬","라이선스","264","1035","1299","20211101"
"21858","4","뮤지컬시카고","문화공연","뮤지컬","라이선스","264","1035","1299","20211101"
"21859","5","뮤지컬잭더리퍼","문화공연","뮤지컬","라이선스","216","1017","1233","20211101"
"21860","6","뮤지컬하데스타운","문화공연","뮤지컬","라이선스","148","936","1084","20211101"
"21861","7","뮤지컬광화문연가","문화공연","뮤지컬","창작","81","757","838","20211101"
"21862","8","뮤지컬레베카","문화공연","뮤지컬","창작","181","578","759","20211101"
"21863","9","뮤지컬라이온킹","문화공연","뮤지컬","오리지널","122","504","626","20211101"
"21864","10","뮤지컬빨래","문화공연","뮤지컬","창작","146","433","579","20211101"
