"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"26145","1","뮤지컬영웅","문화공연","뮤지컬","창작","214","988","1202","20221101"
"26146","2","뮤지컬엘리자벳","문화공연","뮤지컬","라이선스","192","852","1044","20221101"
"26147","3","뮤지컬빨래","문화공연","뮤지컬","창작","185","547","732","20221101"
"26148","4","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","130","445","575","20221101"
"26149","5","신비아파트뮤지컬","문화공연","뮤지컬","창작","26","364","390","20221101"
"26150","6","뮤지컬캣츠","문화공연","뮤지컬","창작","87","188","275","20221101"
"26151","7","뮤지컬브로드웨이42번가","문화공연","뮤지컬","창작","49","117","166","20221101"
"26152","8","뮤지컬랭보","문화공연","뮤지컬","창작","44","78","122","20221101"
"26153","9","뮤지컬그날들","문화공연","뮤지컬","창작","19","97","116","20221101"
"26154","10","뮤지컬그날들","문화공연","뮤지컬","창작","19","97","116","20221101"
