"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"15235","1","뮤지컬웃는남자","문화공연","뮤지컬","창작","7611","341","7952","20200301"
"15236","2","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","3191","204","3395","20200301"
"15237","3","뮤지컬레베카","문화공연","뮤지컬","라이선스","2385","139","2524","20200301"
"15238","4","뮤지컬영웅본색","문화공연","뮤지컬","뮤지컬","952","55","1007","20200301"
"15239","5","뮤지컬그리스","문화공연","뮤지컬","뮤지컬","762","43","805","20200301"
"15240","6","뮤지컬여명의눈동자","문화공연","뮤지컬","창작","706","48","754","20200301"
"15241","7","뮤지컬마리퀴리","문화공연","뮤지컬","라이선스","505","140","645","20200301"
"15242","8","뮤지컬아이다","문화공연","뮤지컬","라이선스","579","38","617","20200301"
"15243","9","뮤지컬빨래","문화공연","뮤지컬","라이선스","533","40","573","20200301"
"15244","10","뮤지컬영웅","문화공연","뮤지컬","창작","493","60","553","20200301"
