"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"25835","1","뮤지컬엘리자벳","문화공연","뮤지컬","라이선스","103","1520","1623","20221001"
"25836","2","뮤지컬영웅","문화공연","뮤지컬","창작","77","1203","1280","20221001"
"25837","3","뮤지컬빨래","문화공연","뮤지컬","창작","63","848","911","20221001"
"25838","4","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","17","570","587","20221001"
"25839","5","신비아파트뮤지컬","문화공연","뮤지컬","창작","11","475","486","20221001"
"25840","6","뮤지컬스위니토드","문화공연","뮤지컬","라이선스","36","252","288","20221001"
"25841","7","뮤지컬사의찬미","문화공연","뮤지컬","창작","9","151","160","20221001"
"25842","8","뮤지컬박정희","문화공연","뮤지컬","창작","10","138","148","20221001"
"25843","9","뮤지컬인현왕후","문화공연","뮤지컬","창작","0","132","132","20221001"
"25844","10","뮤지컬모차르트","문화공연","뮤지컬","라이선스","12","106","118","20221001"
