"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"14635","1","뮤지컬빅피쉬","문화공연","뮤지컬","뮤지컬","5181","5140","10321","20200101"
"14636","2","뮤지컬레베카","문화공연","뮤지컬","라이선스","8318","581","8899","20200101"
"14637","3","뮤지컬아이다","문화공연","뮤지컬","라이선스","5756","365","6121","20200101"
"14638","4","뮤지컬웃는남자","문화공연","뮤지컬","창작","5079","300","5379","20200101"
"14639","5","뮤지컬보디가드","문화공연","뮤지컬","뮤지컬","3178","458","3636","20200101"
"14640","6","뮤지컬스위니토드","문화공연","뮤지컬","라이선스","2531","148","2679","20200101"
"14641","7","뮤지컬영웅본색","문화공연","뮤지컬","뮤지컬","2313","201","2514","20200101"
"14642","8","뮤지컬위윌락유","문화공연","뮤지컬","라이선스","1839","240","2079","20200101"
"14643","9","뮤지컬그리스","문화공연","뮤지컬","뮤지컬","1613","147","1760","20200101"
"14644","10","신비아파트뮤지컬","문화공연","뮤지컬","창작","1449","57","1506","20200101"
