"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"16155","1","뮤지컬렌트","문화공연","뮤지컬","뮤지컬","1568","626","2194","20200601"
"16156","2","뮤지컬모차르트","문화공연","뮤지컬","라이선스","1472","409","1881","20200601"
"16157","3","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","1171","313","1484","20200601"
"16158","4","뮤지컬레베카","문화공연","뮤지컬","라이선스","966","239","1205","20200601"
"16159","5","뮤지컬빨래","문화공연","뮤지컬","라이선스","784","287","1071","20200601"
"16160","6","뮤지컬브로드웨이42번가","문화공연","뮤지컬","창작","683","261","944","20200601"
"16161","7","뮤지컬귀환","문화공연","뮤지컬","뮤지컬","704","210","914","20200601"
"16162","8","뮤지컬오페라의유령","문화공연","뮤지컬","오리지널","339","180","519","20200601"
"16163","9","뮤지컬베르테르","문화공연","뮤지컬","창작","328","98","426","20200601"
"16164","10","뮤지컬영웅","문화공연","뮤지컬","창작","305","100","405","20200601"
