"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"20935","1","뮤지컬헤드윅","문화공연","뮤지컬","라이선스","561","9025","9586","20210801"
"20936","2","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","316","3779","4095","20210801"
"20937","3","뮤지컬마리앙투아네트","문화공연","뮤지컬","라이선스","366","3691","4057","20210801"
"20938","4","뮤지컬광화문연가","문화공연","뮤지컬","창작","98","2620","2718","20210801"
"20939","5","뮤지컬엑스칼리버","문화공연","뮤지컬","창작","166","1657","1823","20210801"
"20940","6","뮤지컬시카고","문화공연","뮤지컬","라이선스","89","1010","1099","20210801"
"20941","7","신비아파트뮤지컬","문화공연","뮤지컬","창작","37","628","665","20210801"
"20942","8","뮤지컬공룡타루","문화공연","뮤지컬","창작","15","584","599","20210801"
"20943","9","뮤지컬마마돈크라이","문화공연","뮤지컬","창작","30","443","473","20210801"
"20944","10","뮤지컬앤서니브라운의신비한놀이터","문화공연","뮤지컬","창작","10","428","438","20210801"
