"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"25525","1","뮤지컬엘리자벳","문화공연","뮤지컬","라이선스","307","1507","1814","20220901"
"25526","2","뮤지컬레베카","문화공연","뮤지컬","창작","29","741","770","20220901"
"25527","3","뮤지컬빨래","문화공연","뮤지컬","창작","125","584","709","20220901"
"25528","4","뮤지컬벤허","문화공연","뮤지컬","창작","47","410","457","20220901"
"25529","5","신비아파트뮤지컬","문화공연","뮤지컬","창작","36","419","455","20220901"
"25530","6","뮤지컬영웅","문화공연","뮤지컬","창작","75","340","415","20220901"
"25531","7","뮤지컬스위니토드","문화공연","뮤지컬","라이선스","53","274","327","20220901"
"25532","8","뮤지컬사의찬미","문화공연","뮤지컬","창작","63","239","302","20220901"
"25533","9","뮤지컬첫사랑","문화공연","뮤지컬","창작","47","188","235","20220901"
"25534","10","뮤지컬모차르트","문화공연","뮤지컬","라이선스","37","155","192","20220901"
