"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"15545","1","뮤지컬모차르트","문화공연","뮤지컬","라이선스","18965","8498","27463","20200401"
"15546","2","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","3604","990","4594","20200401"
"15547","3","뮤지컬레베카","문화공연","뮤지컬","라이선스","781","163","944","20200401"
"15548","4","뮤지컬오페라의유령","문화공연","뮤지컬","오리지널","653","229","882","20200401"
"15549","5","뮤지컬웃는남자","문화공연","뮤지컬","창작","433","94","527","20200401"
"15550","6","뮤지컬영웅","문화공연","뮤지컬","창작","209","106","315","20200401"
"15551","7","뮤지컬리지","문화공연","뮤지컬","라이선스","187","80","267","20200401"
"15552","8","뮤지컬베르테르","문화공연","뮤지컬","창작","194","42","236","20200401"
"15553","9","뮤지컬귀환","문화공연","뮤지컬","뮤지컬","184","28","212","20200401"
"15554","10","뮤지컬빨래","문화공연","뮤지컬","라이선스","127","70","197","20200401"
