"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"23105","1","뮤지컬엑스칼리버","문화공연","뮤지컬","창작","70","1465","1535","20220301"
"23106","2","뮤지컬레베카","문화공연","뮤지컬","창작","68","969","1037","20220301"
"23107","3","신비아파트뮤지컬","문화공연","뮤지컬","창작","37","747","784","20220301"
"23108","4","뮤지컬팬레터","문화공연","뮤지컬","창작","73","609","682","20220301"
"23109","5","뮤지컬라이온킹","문화공연","뮤지컬","오리지널","45","532","577","20220301"
"23110","6","뮤지컬빨래","문화공연","뮤지컬","창작","37","463","500","20220301"
"23111","7","뮤지컬하데스타운","문화공연","뮤지컬","라이선스","24","393","417","20220301"
"23112","8","뮤지컬영웅","문화공연","뮤지컬","창작","22","394","416","20220301"
"23113","9","뮤지컬아이다","문화공연","뮤지컬","라이선스","29","284","313","20220301"
"23114","10","뮤지컬지킬앤하이드","문화공연","뮤지컬","라이선스","43","256","299","20220301"
