SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
26445,1,뮤지컬영웅,문화공연,뮤지컬,창작,534,2191,2725,20221201
26446,2,뮤지컬드라큘라,문화공연,뮤지컬,라이선스,250,746,996,20221201
26447,3,뮤지컬빨래,문화공연,뮤지컬,창작,174,661,835,20221201
26448,4,뮤지컬엘리자벳,문화공연,뮤지컬,라이선스,128,441,569,20221201
26449,5,뮤지컬스위니토드,문화공연,뮤지컬,라이선스,96,250,346,20221201
26450,6,신비아파트뮤지컬,문화공연,뮤지컬,창작,30,307,337,20221201
26451,7,뮤지컬캣츠,문화공연,뮤지컬,창작,77,212,289,20221201
26452,8,뮤지컬브로드웨이42번가,문화공연,뮤지컬,창작,61,180,241,20221201
26453,9,뮤지컬디바,문화공연,뮤지컬,창작,36,156,192,20221201
26454,10,뮤지컬김종욱찾기,문화공연,뮤지컬,창작,38,130,168,20221201
