SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
27673,1,뮤지컬영웅,문화공연,뮤지컬,창작,161,2477,2638,20230401
27674,2,뮤지컬맘마미아,문화공연,뮤지컬,창작,64,608,672,20230401
27675,3,뮤지컬빨래,문화공연,뮤지컬,창작,49,575,624,20230401
27676,4,뮤지컬디바,문화공연,뮤지컬,창작,17,581,598,20230401
27677,5,뮤지컬캣츠,문화공연,뮤지컬,창작,41,496,537,20230401
27678,6,신비아파트뮤지컬,문화공연,뮤지컬,창작,24,475,499,20230401
27679,7,뮤지컬호프,문화공연,뮤지컬,창작,33,398,431,20230401
27680,8,뮤지컬친정엄마,문화공연,뮤지컬,창작,23,385,408,20230401
27681,9,뮤지컬레드북,문화공연,뮤지컬,창작,40,356,396,20230401
27682,10,뮤지컬시카고,문화공연,뮤지컬,라이선스,35,345,380,20230401
