"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"19125","1","뮤지컬그날들","문화공연","뮤지컬","창작","167","738","905","20210201"
"19126","2","뮤지컬캣츠","문화공연","뮤지컬","창작","165","505","670","20210201"
"19127","3","뮤지컬젠틀맨스가이드","문화공연","뮤지컬","라이선스","61","449","510","20210201"
"19128","4","신비아파트뮤지컬","문화공연","뮤지컬","창작","48","151","199","20210201"
"19129","5","뮤지컬빨래","문화공연","뮤지컬","창작","44","141","185","20210201"
"19130","6","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","44","135","179","20210201"
"19131","7","뮤지컬호프","문화공연","뮤지컬","창작","34","131","165","20210201"
"19132","8","뮤지컬영웅","문화공연","뮤지컬","창작","30","116","146","20210201"
"19133","9","뮤지컬시카고","문화공연","뮤지컬","라이선스","26","97","123","20210201"
"19134","10","뮤지컬레베카","문화공연","뮤지컬","창작","22","98","120","20210201"
