"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"16455","1","뮤지컬모차르트","문화공연","뮤지컬","라이선스","2871","551","3422","20200701"
"16456","2","뮤지컬렌트","문화공연","뮤지컬","뮤지컬","1885","418","2303","20200701"
"16457","3","뮤지컬브로드웨이42번가","문화공연","뮤지컬","창작","1622","464","2086","20200701"
"16458","4","뮤지컬마리퀴리","문화공연","뮤지컬","라이선스","1379","369","1748","20200701"
"16459","5","뮤지컬베르테르","문화공연","뮤지컬","창작","1309","238","1547","20200701"
"16460","6","뮤지컬제이미","문화공연","뮤지컬","라이선스","1057","182","1239","20200701"
"16461","7","뮤지컬오페라의유령","문화공연","뮤지컬","오리지널","507","153","660","20200701"
"16462","8","뮤지컬빨래","문화공연","뮤지컬","라이선스","493","143","636","20200701"
"16463","9","뮤지컬썸씽로튼","문화공연","뮤지컬","라이선스","528","77","605","20200701"
"16464","10","뮤지컬레베카","문화공연","뮤지컬","라이선스","464","124","588","20200701"
