"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"13415","1","뮤지컬시티오브엔젤","문화공연","뮤지컬","라이선스","8888","0","8888","20190901"
"13416","2","뮤지컬벤허","문화공연","뮤지컬","창작","3256","365","3621","20190901"
"13417","3","뮤지컬마리앙투아네트","문화공연","뮤지컬","라이선스","2910","516","3426","20190901"
"13418","4","뮤지컬시라노","문화공연","뮤지컬","라이선스","2755","287","3042","20190901"
"13419","5","신비아파트뮤지컬","문화공연","뮤지컬","창작","1769","29","1798","20190901"
"13420","6","뮤지컬헤드윅","문화공연","뮤지컬","라이선스","1533","166","1699","20190901"
"13421","7","뮤지컬친정엄마","문화공연","뮤지컬","창작","1204","246","1450","20190901"
"13422","8","뮤지컬스위니토드","문화공연","뮤지컬","라이선스","1213","113","1326","20190901"
"13423","9","뮤지컬아이다","문화공연","뮤지컬","라이선스","1224","95","1319","20190901"
"13424","10","뮤지컬레베카","문화공연","뮤지컬","라이선스","768","96","864","20190901"
