"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"14945","1","뮤지컬보디가드","문화공연","뮤지컬","뮤지컬","55186","504","55690","20200201"
"14946","2","뮤지컬웃는남자","문화공연","뮤지컬","창작","5588","256","5844","20200201"
"14947","3","뮤지컬레베카","문화공연","뮤지컬","라이선스","4196","249","4445","20200201"
"14948","4","뮤지컬여명의눈동자","문화공연","뮤지컬","창작","3324","183","3507","20200201"
"14949","5","뮤지컬아이다","문화공연","뮤지컬","라이선스","2913","142","3055","20200201"
"14950","6","뮤지컬영웅본색","문화공연","뮤지컬","뮤지컬","1911","165","2076","20200201"
"14951","7","뮤지컬그리스","문화공연","뮤지컬","뮤지컬","1342","92","1434","20200201"
"14952","8","뮤지컬빅피쉬","문화공연","뮤지컬","뮤지컬","1263","170","1433","20200201"
"14953","9","뮤지컬미스터쇼","문화공연","뮤지컬","뮤지컬","954","38","992","20200201"
"14954","10","뮤지컬드라큘라","문화공연","뮤지컬","라이선스","913","75","988","20200201"
