"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","GENRE_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"17895","1","뮤지컬베르테르","문화공연","뮤지컬","창작","186","2457","2643","20201001"
"17896","2","뮤지컬모차르트","문화공연","뮤지컬","라이선스","105","827","932","20201001"
"17897","3","뮤지컬썸씽로튼","문화공연","뮤지컬","라이선스","85","638","723","20201001"
"17898","4","뮤지컬광주","문화공연","뮤지컬","라이선스","57","547","604","20201001"
"17899","5","뮤지컬캣츠","문화공연","뮤지컬","창작","51","504","555","20201001"
"17900","6","뮤지컬귀환","문화공연","뮤지컬","뮤지컬","43","265","308","20201001"
"17901","7","뮤지컬비스티","문화공연","뮤지컬","창작","43","242","285","20201001"
"17902","8","뮤지컬시데레우스","문화공연","뮤지컬","창작","40","224","264","20201001"
"17903","9","뮤지컬빨래","문화공연","뮤지컬","창작","30","199","229","20201001"
"17904","10","이별식당","문화공연","뮤지컬","뮤지컬","85","141","226","20201001"
